State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-03-12,5,17.5,12.5,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-03-14,6.25,10,8.75,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-03-23,15,25,20.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-03-26,25,30,27.5,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-03-29,20,30,25.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-04,5.5,10,8.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-07,7.5,15,12.5,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-10,7.5,15,10.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-16,7.5,10,8.75,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-17,7.5,12.5,10.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-04-30,12.5,22.5,15.0,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-05-08,10,20,17.5,405
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Marigold(loose),Marigold(Loose),FAQ,2007-05-09,12.5,17.5,15.0,405
