State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Jharkhand,Bokaro,Bokaro (Chas),Masur Dal,Other,FAQ,2009-12-29,6180,6325,6250,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-01-07,4650,4850,4850,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-01-21,4750,4900,4900,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-02-04,4900,5100,5000,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-02-06,4900,5100,5000,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-02-28,4400,4600,4500,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-03-03,4500,5000,4700,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-03-13,6000,6200,6100,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-05-22,4300,4600,4500,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-05-23,4300,4600,4500,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-05-24,4300,4600,4500,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-05-29,4100,4600,4300,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-07-12,6000,6500,6200,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-07-27,5700,6000,5800,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-08-18,5600,6200,6000,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-09-14,5000,5500,5300,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-09-20,5000,5600,5300,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-09-22,5000,5500,5300,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-09-25,5200,5600,5400,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-10-09,5400,6000,5750,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-10-10,5400,6000,5700,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-10-13,5100,6000,5400,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-10-17,5200,5500,5400,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-11-02,5300,6200,5800,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-11-06,5300,6200,5800,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-11-11,5300,6200,5800,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-11-21,5600,6000,5800,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-12-06,5600,6200,6000,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-12-19,5600,6200,6000,259
Jharkhand,Dhanbad,Dhanbad,Masur Dal,Other,FAQ,2009-12-20,5600,6200,6000,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-06-11,4800,4850,4800,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-06-15,4800,4850,4800,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-04,4650,4700,4650,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-06,4650,4700,4650,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-10,4800,4850,4800,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-17,4800,4850,4800,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-19,5000,5400,5200,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-20,5000,5400,5200,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-22,5100,5400,5250,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-07-26,5000,5200,5100,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-08-03,5000,5200,5100,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-09-03,5000,5200,5100,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-09-25,4900,5100,5000,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-10-05,5000,5200,5100,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-10-15,5000,5200,5100,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-01,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-03,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-11,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-12,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-17,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-11-20,5400,5600,5500,259
Jharkhand,East Singhbhum,Chakulia,Masur Dal,Other,FAQ,2009-12-02,5400,5600,5500,259
