State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Sangli,Sangli,Mataki,Other,FAQ,2006-12-28,3000,4000,3500.0,93
Maharashtra,Sangli,Sangli,Mataki,Other,FAQ,2006-12-30,3000,3400,3200.0,93
Maharashtra,Sholapur,Barshi,Mataki,Other,FAQ,2006-11-30,3300,3300,3300.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-01-06,1501,2600,2055.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-01-07,2000,2150,2000.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-01-12,2100,2500,2200.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-02-04,1200,2300,1600.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-02-15,1360,2550,2400.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-02-17,2500,2500,2500.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-02-21,1450,2700,2500.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-03-02,2700,2700,2700.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-03-07,2750,2750,2750.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-03-27,2850,3500,3000.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-07,3200,3200,3200.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-21,3500,3500,3500.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-22,1800,1800,1800.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-24,3300,3400,3300.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-25,1800,3000,1800.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-04-29,1450,3800,3300.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-05-15,3000,3200,3000.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-05-17,3300,3400,3375.0,93
Maharashtra,Sholapur,Solapur,Mataki,Other,FAQ,2006-05-19,3300,3400,3350.0,93
