State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-11-07,500,800,650.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-11-12,500,800,650.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-11-13,500,700,600.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-11-19,500,800,650.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-12-04,800,1200,1000.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-12-07,800,1100,950.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-12-19,700,900,800.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-12-21,700,900,800.0,46
NCT of Delhi,Delhi,Keshopur,Methi(Leaves),Other,FAQ,2006-12-29,500,900,700.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-03-24,300,500,400.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-03-26,400,600,500.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-04-06,400,600,500.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-04-15,400,600,500.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-10-25,700,900,800.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-11-04,500,700,600.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-12-10,500,700,600.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-12-11,600,800,700.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Methi,FAQ,2006-12-29,450,950,850.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Other,FAQ,2006-01-05,500,700,600.0,46
NCT of Delhi,Delhi,Shahdara,Methi(Leaves),Other,FAQ,2006-01-07,400,500,450.0,46
