State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bellary,H.B. Halli,Neem Seed,Neem Seed,Medium,2007-06-23,320,320,320,126
Karnataka,Bellary,H.B. Halli,Neem Seed,Neem Seed,Medium,2007-07-10,450,450,450,126
Karnataka,Kolar,Gowribidanoor,Neem Seed,Neem Seed,FAQ,2007-11-05,1300,1500,1400,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-06-15,999,999,999,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-06-26,632,999,985,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-07-02,1023,1088,1088,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-07-04,1001,1084,1078,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-07-16,1161,1211,1196,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-07-18,900,1226,1130,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-07-27,851,1161,1124,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-08-23,1002,1202,1185,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-08-24,1123,1123,1123,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,FAQ,2007-08-27,1140,1221,1211,126
Karnataka,Tumkur,Tumkur,Neem Seed,Neem Seed,FAQ,2007-08-16,900,1030,1006,126
Karnataka,Tumkur,Tumkur,Neem Seed,Neem Seed,FAQ,2007-08-20,900,1030,1006,126
Maharashtra,Buldhana,Deoulgaon Raja,Neem Seed,Other,FAQ,2007-06-18,275,421,375,126
Maharashtra,Buldhana,Deoulgaon Raja,Neem Seed,Other,FAQ,2007-06-26,200,451,400,126
Maharashtra,Buldhana,Deoulgaon Raja,Neem Seed,Other,FAQ,2007-07-06,450,475,465,126
Maharashtra,Buldhana,Deoulgaon Raja,Neem Seed,Other,FAQ,2007-07-09,225,450,375,126
Maharashtra,Buldhana,Khamgaon,Neem Seed,Other,FAQ,2007-06-28,300,532,416,126
Maharashtra,Buldhana,Khamgaon,Neem Seed,Other,FAQ,2007-06-30,300,488,394,126
Maharashtra,Buldhana,Khamgaon,Neem Seed,Other,FAQ,2007-07-09,450,500,475,126
Maharashtra,Buldhana,Khamgaon,Neem Seed,Other,FAQ,2007-07-12,480,500,490,126
Maharashtra,Buldhana,Nandura,Neem Seed,Other,FAQ,2007-06-14,215,375,315,126
Maharashtra,Buldhana,Nandura,Neem Seed,Other,FAQ,2007-06-15,251,385,345,126
Maharashtra,Buldhana,Nandura,Neem Seed,Other,FAQ,2007-06-21,275,445,375,126
Maharashtra,Jalana,Ghansawangi,Neem Seed,Other,FAQ,2007-06-27,350,400,375,126
Maharashtra,Jalana,Ghansawangi,Neem Seed,Other,FAQ,2007-07-11,370,450,400,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-06-12,300,410,375,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-06-16,300,459,410,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-06-25,211,552,419,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-06-27,384,547,450,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-07-03,350,450,430,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-07-07,421,575,518,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-07-17,300,300,300,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-07-19,325,375,375,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-07-24,300,305,300,126
Maharashtra,Jalana,Jalana,Neem Seed,Other,FAQ,2007-08-04,300,300,300,126
Maharashtra,Jalana,Partur,Neem Seed,Other,FAQ,2007-07-02,388,520,471,126
Maharashtra,Jalana,Partur,Neem Seed,Other,FAQ,2007-07-03,450,525,476,126
Karnataka,Bagalkot,Badami,Neem Seed,Neem Seed,Small,2014-09-22,400,400,400,126
Karnataka,Bangalore,Hoskote,Neem Seed,Neem Seed,FAQ,2014-07-21,800,900,850,126
Karnataka,Belgaum,Athani,Neem Seed,Neem Seed,Medium,2014-07-19,3000,3000,3000,126
Karnataka,Bellary,H.B. Halli,Neem Seed,Neem Seed,Medium,2014-06-25,600,600,600,126
Karnataka,Chamrajnagar,Chamaraj Nagar,Neem Seed,Neem Seed,Medium,2014-07-25,2302,2302,2302,126
Karnataka,Kolar,Gowribidanoor,Neem Seed,Neem Seed,Medium,2014-05-15,1900,2100,2000,126
Karnataka,Kolar,Gowribidanoor,Neem Seed,Neem Seed,Medium,2014-08-14,2200,2400,2300,126
Karnataka,Koppal,Kustagi,Neem Seed,Neem Seed,Medium,2014-07-19,430,450,440,126
Karnataka,Koppal,Kustagi,Neem Seed,Neem Seed,Medium,2014-08-02,400,430,400,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-06-17,1900,1910,1908,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-06-25,1979,2006,1990,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-06-26,1940,2012,1994,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-07-03,2071,2125,2109,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-07-11,2235,2306,2286,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-07-26,2275,2280,2276,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-08-07,2280,2300,2292,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-08-12,2280,2300,2287,126
Karnataka,Mysore,Mysore (Bandipalya),Neem Seed,Neem Seed,Medium,2014-08-22,2330,2350,2342,126
Karnataka,Tumkur,Madhugiri,Neem Seed,Neem Seed,Medium,2014-08-01,1800,2250,2050,126
Karnataka,Tumkur,Pavagada,Neem Seed,Neem Seed,Medium,2014-07-22,500,510,500,126
Karnataka,Tumkur,Tumkur,Neem Seed,Neem Seed,Medium,2014-05-13,1700,2000,1900,126
