State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-01-25,2000,2500,2300.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-02-01,1800,2000,1900.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-04-11,1900,2000,2000.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-06-06,1800,2000,1900.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-07-04,3000,3500,3000.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-07-08,3500,4000,3800.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-07-15,2500,3000,2800.0,223
Kerala,Kollam,Kollam,Nelli Kai,Other,FAQ,2008-10-10,2000,2500,2400.0,223
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-01-01 00:00:00,400,1200,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-01-02 00:00:00,400,1500,1200.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-01-12 00:00:00,400,1000,700.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-01-29 00:00:00,450,1200,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-01 00:00:00,400,1300,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-04 00:00:00,450,1200,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-06 00:00:00,500,1200,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-10 00:00:00,500,1200,900.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-12 00:00:00,700,1000,850.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-15 00:00:00,500,1500,1100.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-24 00:00:00,800,1600,1300.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-02-25 00:00:00,500,1500,1000.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-09-07 00:00:00,700,1200,1000.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-09-24 00:00:00,1000,1200,1100.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-09-25 00:00:00,700,1200,1000.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-09-27 00:00:00,500,1000,800.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-09-28 00:00:00,500,1200,1000.0,355
Gujarat,Ahmedabad,Ahmedabad,Amla(Nelli Kai),Other,FAQ,2010-10-06 00:00:00,300,1200,1000.0,355
