State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Basmati),1121,FAQ,2019-11-15,1835,1835,1835,414
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,2019-11-12,2100,2805,2770,414
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,2019-11-14,2375,2845,2700,414
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,2019-11-16,1900,2820,2630,414
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,2019-11-22,2300,2790,2730,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-01-01,2900,3455,3385,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-01-11,2900,3490,3395,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-01-29,3045,3555,3475,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-02-02,3010,3530,3075,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-02-04,3050,3560,3475,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-02-06,2950,3600,3560,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-02-11,3110,3480,3125,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-02-12,3125,3440,3440,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-03-09,3575,3575,3575,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-03-28,3580,3580,3580,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-04-03,3300,3350,3350,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-11-18,2200,2585,2455,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-11-29,2200,2935,2800,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-12-03,2360,2875,2790,414
Punjab,Muktsar,Giddarbaha,Paddy(Dhan)(Basmati),1121,FAQ,2019-12-10,2150,2935,2810,414
