State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-15,1470,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-16,1470,1500,1480,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-22,1470,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-24,1470,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-27,1470,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-10-28,1470,1500,1480,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-11-04,1470,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-11-15,1480,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-11-16,1480,1500,1490,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-11-27,1470,1550,1510,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-11-28,1500,1550,1520,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-12-03,1550,1570,1560,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-12-09,1550,1570,1560,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-12-15,1550,1570,1560,2
Andhra Pradesh,Krishna,Vuyyur,Paddy(Dhan)(Common),MTU-2077,Medium,2017-12-31,1550,1620,1580,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-10,1450,1650,1550,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-13,1500,1700,1600,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-17,1400,1600,1500,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-18,1500,1700,1600,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-25,1500,1700,1600,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-01-30,1400,1650,1550,2
Andhra Pradesh,Kurnool,Allagadda,Paddy(Dhan)(Common),Paddy,FAQ,2017-02-09,1500,1700,1600,2
