State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-04-11,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-04-13,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-04-25,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-04-27,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-05-01,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-05-02,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-05-07,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-05-08,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-05-09,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-05-21,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-05-25,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-05-29,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-06-01,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-06-02,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-06-04,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-06-24,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Large,2017-06-26,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-07-03,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-07-04,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-07-11,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-07-19,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-03,700,800,750,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-04,600,900,750,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-06,600,900,750,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-18,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-21,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-23,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-08-31,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-09-07,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-09-13,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-09-18,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-09-26,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-10-06,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-10-21,500,600,550,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-10-26,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-10-28,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-11-19,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-11-24,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-12-13,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-12-18,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-12-19,600,700,650,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-12-21,700,800,750,72
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,2017-12-24,500,600,550,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-09,700,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-19,600,1300,1000,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-20,800,1200,1100,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-23,800,1300,1100,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-25,600,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-01-31,600,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-02-02,600,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-02-06,600,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-02-28,700,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-03-08,800,1200,1100,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-03-28,700,1100,1000,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-04-01,1000,1200,1100,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-04-07,800,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-04-10,800,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-06-12,700,900,800,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-06-23,1000,1200,1100,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-06-29,800,1000,900,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-07-14,1300,1500,1400,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-07-19,1000,1300,1200,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-07-29,1400,1600,1500,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-08-02,1300,1500,1400,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-08-03,1400,1600,1500,72
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Papaya,Other,Medium,2017-08-08,1300,1600,1500,72
