State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-01,1500,1500,1500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-03,2500,2500,2500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-04,2800,2800,2800,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-18,2000,2500,2250,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-24,1500,1500,1500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-04-25,2000,2000,2000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-01,1440,2500,1970,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-02,1430,1800,1615,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-06,1350,2000,1675,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-09,1630,2000,1815,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-10,1800,2000,1900,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-16,1845,2300,2072,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-18,1500,2500,2000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-23,1315,2000,1515,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-25,1000,2100,1550,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-05-28,1725,2300,2012,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-06-05,1000,2300,1600,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-07-17,3200,3200,3200,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-07-18,3000,3000,3000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-07-23,2000,3000,2500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-03,1000,3000,2000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-06,2000,2500,2200,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-07,1800,2500,2100,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-09,2000,2500,2200,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-12,1600,2200,1900,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-14,1500,1800,1600,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-16,1400,2500,1900,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-08-26,1300,2600,1900,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-09-02,1780,2500,2100,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-09-17,2500,2500,2500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-10-04,2000,3000,2500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-10-17,2000,3000,2500,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-10-19,1600,2500,2050,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-10-24,2000,3153,2550,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-11-04,3200,3500,3350,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-11-15,1000,1200,1100,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-01,2500,3500,3000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-02,3000,3000,3000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-06,2000,2000,2000,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-08,1200,1400,1300,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-10,1600,1800,1700,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-18,1100,1500,1300,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-27,1100,1500,1350,174
Haryana,Yamuna Nagar,Jagadhri,Peas Wet,Other,FAQ,2009-12-30,1200,1800,1500,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-01-05,800,900,850,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-02-07,600,800,700,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-03-19,750,800,760,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-03-29,1500,1500,1500,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-08-07,2500,2500,2500,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-08-09,2500,2500,2500,174
Haryana,Yamuna Nagar,Radaur,Peas Wet,Other,FAQ,2009-08-26,2000,2000,2000,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-01-07,700,1100,900,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-01-08,600,1100,850,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-01-17,600,1100,850,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-01-20,600,1100,850,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-01-25,400,800,600,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-09,500,900,700,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-10,500,900,700,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-12,600,950,750,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-17,500,1100,800,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-18,500,1100,800,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-02-25,700,1500,1100,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-01,700,1200,950,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-05,800,1500,1150,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-07,600,1800,1200,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-14,700,2000,1350,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-23,1000,1700,1350,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-25,1300,2700,2000,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-03-30,1300,3000,2150,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-01,800,2500,1650,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-09,1500,2400,1950,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-10,2000,3000,2500,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-11,2500,2500,2500,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-12,1800,3500,2650,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-16,1800,3800,2800,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-19,1600,2500,2050,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-24,2000,3000,2500,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-04-28,1600,3000,2300,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-01,1700,3000,2350,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-02,1200,2100,1650,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-11,1200,2800,2000,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-14,1700,3000,2350,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-15,1800,2500,2150,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-24,1200,2000,1600,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-05-29,1500,2400,1950,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-06-02,1800,2800,2300,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-06-06,1300,2600,2000,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-07-01,4500,5200,4800,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-07-02,4600,5000,4800,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-07-03,3500,5500,4500,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-07-14,2200,4600,3400,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-07-15,3000,3700,3300,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-08-06,3000,3900,3500,174
Haryana,Yamuna Nagar,Yamuna Nagar,Peas Wet,Other,FAQ,2009-10-02,2300,3500,2900,174
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,2009-08-07,2200,2500,2300,174
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,2009-09-15,2000,2200,2100,174
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,2009-09-19,2200,2400,2300,174
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,2009-09-22,2200,4400,2300,174
Himachal Pradesh,Chamba,Chamba,Peas Wet,Other,FAQ,2009-11-05,2700,3000,2800,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-05,900,1200,1200,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-07,900,1300,1200,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-08,900,1200,1000,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-11,1400,1500,1400,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-12,1200,1800,1600,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-16,1400,1700,1700,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-01-17,1600,1600,1600,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-02-19,1500,1800,1800,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-02-24,1600,1800,1700,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-03-03,1400,1700,1600,174
Himachal Pradesh,Hamirpur,Hamirpur,Peas Wet,Other,FAQ,2009-03-06,1400,1600,1500,174
