State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Koria,Baikunthpur,Pegeon Pea (Arhar Fali),Other,FAQ,2018-02-13,2700,2700,2700,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-07-12,2000,4000,3000,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-07-25,2700,3300,3000,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-07-27,3000,3250,3100,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-08-07,2100,3500,3000,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-08-24,2000,3000,2500,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-09-08,1800,2500,2200,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-09-14,2000,3000,2500,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-09-19,2000,2800,2500,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-09-26,1800,2500,2000,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-11-17,2500,3000,2800,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-11-28,2300,2700,2500,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-12-08,2000,2600,2400,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-12-11,2000,2500,2300,301
Gujarat,Ahmedabad,Dholka(Koth),Pegeon Pea (Arhar Fali),Other,FAQ,2018-12-13,2500,3000,2900,301
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Pegeon Pea (Arhar Fali),Other,FAQ,2018-05-25,4000,5500,4700,301
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Pegeon Pea (Arhar Fali),Other,FAQ,2018-12-05,2000,2500,2250,301
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Pegeon Pea (Arhar Fali),Other,FAQ,2018-12-19,2500,3000,2750,301
