State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Kottayam,Pampady,Pepper garbled,Other,FAQ,2007-01-05,10500,10700,10600,109
Kerala,Kottayam,Pampady,Pepper garbled,Other,FAQ,2007-04-03,12500,12700,12600,109
Kerala,Kottayam,Pampady,Pepper garbled,Other,FAQ,2007-04-24,14500,14700,14600,109
Kerala,Kottayam,Pampady,Pepper garbled,Other,FAQ,2007-05-29,13600,13800,13700,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-01-02,37000,38000,37500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-01-04,41000,42000,41500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-01-25,39000,40000,39500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-01,37000,38000,37500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-07,38000,39000,38500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-08,38000,39000,38500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-15,37000,38000,37500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-19,37000,38000,37500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-02-21,37000,38000,37500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-01,37500,38500,38000.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-05,37000,37500,37200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-09,36000,36800,36500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-12,36000,36500,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-21,35500,36500,36000.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-24,36000,36500,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-26,36000,36500,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-03-27,36000,36500,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-03,35500,36000,35800.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-06,36000,36500,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-13,35000,35800,35500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-17,35000,35500,35200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-20,35000,35500,35200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-04-25,35000,35500,35200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-02,34000,35000,34500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-05,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-08,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-14,33500,34000,33800.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-17,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-05-22,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-01,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-08,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-11,34000,34500,34200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-12,34000,34500,34300.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-23,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-06-26,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-05,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-09,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-10,32000,32500,32200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-13,32000,32500,32200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-14,32000,32500,32200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-16,32000,32200,32100.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-07-26,28000,29000,28500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-08-06,30000,30500,30200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-08-09,30000,30500,30200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-08-27,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-09-11,33000,33400,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-09-15,33500,33800,33700.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-09-21,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-09-27,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-01,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-05,33000,33300,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-08,33000,33300,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-15,36000,37000,36500.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-17,36000,36300,36200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-10-30,37000,37300,37200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-11-02,33000,33500,33200.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-11-13,33500,34000,33800.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2018-11-14,33500,34000,33800.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-01-04,45000,45500,45250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-01-10,40000,40500,40250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-01-17,38000,38500,38250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-01-27,36000,36500,36250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-02-06,38000,38500,38250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-02-08,38000,38500,38250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-02-21,36000,36500,36250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-02-28,36500,37000,36750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-03-09,35000,40000,35750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-03-19,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-03-21,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-04-18,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-04-20,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-04-21,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-04-28,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-05-01,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-05-05,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-05-10,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-05-18,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-05-28,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-06-12,32500,33000,32750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-06-21,32000,33000,32500.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-06-29,31000,31500,31250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-06-30,31000,31500,31250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-06,31000,31500,31250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-16,27500,28000,27750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-24,28000,28500,28250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-25,28000,28500,28250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-28,28000,28500,28250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-07-31,30000,30500,30250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-08-10,30000,31000,30500.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-08-14,32500,33000,32750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-08-17,32500,33000,32750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-09-18,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-09-23,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-09-26,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-10-12,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-10-15,33000,33500,33250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-10-22,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-10-24,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-10-26,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-11-16,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-11-19,35000,35500,35250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-11-27,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-11-30,34000,34500,34250.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-12-05,33500,34000,33750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-12-13,32500,33000,32750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-12-24,32500,33000,32750.0,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2018-12-27,32500,33000,32750.0,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-06-17,65000,65000,65000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-06-20,65000,65000,65000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-06-21,65000,65000,65000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-06-24,65000,65000,65000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-01,70000,70000,70000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-04,70000,70000,70000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-05,70000,70000,70000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-10,50000,50200,50200,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-16,70000,70500,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-25,70000,70500,70250,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-07-30,70000,71000,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-08-05,70000,70750,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-08-09,70000,71000,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-08-16,70000,71000,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-08-22,70000,71000,70500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-08-30,65000,66000,65500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-09-27,58000,58500,58250,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-10-03,56000,57000,56500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-10-10,58000,59000,58500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-10-16,58000,59000,58500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-10-21,65000,66000,65500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-11-03,64000,65000,64500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-11-11,68000,69000,68500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-11-28,64000,65000,64500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-11-29,64000,65000,64500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-02,63000,64000,63500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-08,62500,63500,63000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-10,62500,63500,63000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-13,60000,61000,60500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-24,58000,60000,59000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2014-12-29,58000,60000,59000,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-08-22,68000,68500,68250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-09-05,65000,65500,65250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-09-19,60000,60500,60250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-11-14,58500,59000,58750,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-11-19,67500,68000,67750,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-11-26,64000,64500,64250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-12-08,65000,65500,65250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2014-12-19,67000,67500,67250,109
Kerala,Malappuram,Manjeri,Pepper garbled,Other,FAQ,2014-07-11,695000,700000,700000,109
Kerala,Palakad,Vadakkenchery,Pepper garbled,Other,FAQ,2014-01-09,37900,38000,37950,109
Kerala,Palakad,Vadakkenchery,Pepper garbled,Other,FAQ,2014-01-23,47900,48000,47950,109
Kerala,Palakad,Vadakkenchery,Pepper garbled,Other,FAQ,2014-01-28,48000,48100,48050,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-01-16,51000,53000,52000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-01-22,51000,55000,52000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-01-23,48000,55000,50000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-02-14,50000,55000,51000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-02-15,50000,55000,51000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-03-03,47500,55000,50000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-03-18,52500,57500,54500,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-03-19,51000,55000,52500,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-03-27,50000,55000,52500,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-03-29,52000,55000,54000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-04-04,52500,57500,54500,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-05,65000,70000,68000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-06,65000,70000,68000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-08,68000,71000,69000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-12,67500,70000,69000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-19,67000,70000,68000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-28,72500,80000,75000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-05-29,72500,77500,75000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-06-18,62500,70000,65000,109
Kerala,Wayanad,Pulpally,Pepper garbled,Other,FAQ,2014-06-25,69000,72500,70500,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2022-11-29,46500,47000,46750,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2022-12-06,48000,48500,48250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2022-12-09,48000,48500,48250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2022-12-12,47000,47500,47250,109
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,FAQ,2022-12-15,47000,47500,47250,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-01-01,40000,40200,40100,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-01-10,40000,42000,41000,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-01-15,40000,41000,40500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-01-19,40000,40200,40100,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-01-21,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-02-09,41000,41500,41200,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-02-11,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-02-26,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-03-01,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-03-02,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-03-05,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-03-07,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-03-19,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-04-02,41000,42000,41500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-04-23,44000,44500,44200,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-04-26,43000,44000,43500,109
Kerala,Kasargod,Kasargod,Pepper garbled,Other,FAQ,2022-04-27,43000,43500,43200,109
