State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tripura,Gomati,Garjee,Pigs,Other,FAQ,2007-10-11,1200,1600,1500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-01-09,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-01-23,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-02-03,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-02-10,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-02-17,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-02-20,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-02-24,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-03-13,8000,8750,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-04-03,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-05-01,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-06-30,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-07-03,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-07-14,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-09-11,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-09-15,8000,9000,8500,220
Tripura,Khowai,Bachaibari,Pigs,Other,FAQ,2007-11-17,10000,11000,10500,220
Tripura,Khowai,Teliamura,Pigs,Other,FAQ,2007-09-22,1200,1800,1600,220
Tripura,Khowai,Teliamura,Pigs,Other,FAQ,2007-09-28,1400,2000,1600,220
Tripura,Khowai,Teliamura,Pigs,Other,FAQ,2007-10-05,1500,2000,1800,220
Tripura,Khowai,Teliamura,Pigs,Other,FAQ,2007-10-22,1600,2000,1800,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-02-20,5000,6000,5500,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-04-24,5000,6000,5500,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-06-19,5000,6000,5500,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-07-10,4000,5000,4500,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-07-23,5000,6000,5500,220
Tripura,Dhalai,Chowmanu,Pigs,Other,FAQ,2021-08-28,4000,5000,4500,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-01-15,5000,7000,6000,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-02-05,5500,7000,6000,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-02-22,4500,6000,5000,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-03-01,4500,6000,5000,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-03-12,3000,6000,4500,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-04-23,3000,4200,3500,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-05-03,3000,4200,3500,220
Tripura,Khowai,Teliamura,Pigs,Pigs,FAQ,2021-05-24,3500,6000,4000,220
Tripura,Sepahijala,Jumpuijala,Pigs,Other,FAQ,2021-05-27,2500,4000,3250,220
Mizoram,Lungli,Lungli,Pigs,Other,FAQ,2015-08-21,20000,40000,30000,220
