State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-25,2460,2500,2480,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-26,2380,2420,2400,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-03,2570,2590,2580,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-11,2180,2220,2200,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-16,2280,2320,2300,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-17,2330,2350,2340,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-20,2200,2225,2215,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-23,2280,2310,2300,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-27,2340,2360,2350,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-31,2180,2220,2200,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-03,2480,2520,2500,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-08,2480,2520,2500,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-09,2380,2420,2400,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-13,2450,2490,2470,303
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-15,2280,2320,2300,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-08-19,2200,2600,2400,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-08-26,2400,2800,2550,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-08-27,2400,2800,2500,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-08-31,2300,2600,2450,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-06,3300,4000,3700,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-08,3400,3900,3700,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-13,3200,3600,3450,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-15,3400,3650,3500,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-16,3200,3500,3350,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-28,3300,3550,3400,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-07,2750,2850,2800,303
Uttar Pradesh,Etah,Etah,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-10-09,2600,2850,2700,303
Uttar Pradesh,Etawah,Jasvantnagar,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-06-28,1550,1650,1600,303
Uttar Pradesh,Etawah,Jasvantnagar,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-11-30,2800,3000,2900,303
Uttar Pradesh,Etawah,Jasvantnagar,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-12-14,2600,2750,2700,303
Uttar Pradesh,Farukhabad,Farukhabad,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-19,2400,2600,2500,303
Uttar Pradesh,Farukhabad,Farukhabad,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-20,2450,2520,2500,303
Uttar Pradesh,Farukhabad,Farukhabad,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-25,2350,2425,2400,303
Uttar Pradesh,Farukhabad,Farukhabad,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,2017-09-30,2400,2500,2450,303
