State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-07-19,600,700,700,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-07-20,600,650,600,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-07-23,600,700,700,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-07-24,600,600,600,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-08-18,700,700,700,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-10-12,700,900,800,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-10-17,300,700,600,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-11-13,200,400,400,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-11-14,250,350,300,161
Himachal Pradesh,Hamirpur,Hamirpur,Raddish,Other,FAQ,2007-12-03,200,300,300,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-01-09,200,250,200,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-02-14,200,300,300,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-02-23,300,300,300,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-06-08,500,600,600,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-08-17,400,400,400,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-10-17,700,700,700,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-11-02,400,500,450,161
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Raddish,Other,FAQ,2007-11-26,200,400,300,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-01-11,250,300,275,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-02-01,250,300,275,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-02-08,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-02-12,300,400,350,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-02-22,300,350,325,161
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,2007-04-17,400,500,450,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-04-19,400,600,500,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-04-23,300,500,400,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-05-10,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-05-17,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-05-25,600,800,700,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-06-19,500,700,600,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-07-06,400,700,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-07-12,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-07-21,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-07-30,300,500,400,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-08-02,500,700,600,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-08-20,500,700,600,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-08-30,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-09-07,400,600,500,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-09-18,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-09-19,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-09-22,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-09-28,400,600,500,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-04,500,700,600,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-10,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-16,500,700,600,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-17,500,600,550,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-24,300,500,400,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-10-27,400,500,450,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-11-07,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-11-28,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-12-10,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-12-14,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-12-17,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-12-18,200,300,250,161
Himachal Pradesh,Kangra,Kangra,Raddish,Raddish,FAQ,2007-12-24,200,250,225,161
Himachal Pradesh,Kangra,Kangra(Baijnath),Raddish,Raddish,FAQ,2007-12-03,200,250,225,161
Himachal Pradesh,Kangra,Kangra(Baijnath),Raddish,Raddish,FAQ,2007-12-20,250,300,275,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-04-21,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-05-22,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-06-02,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-06-15,500,600,550,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-07-03,500,600,550,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-07-06,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-07-24,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-07-25,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-03,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-16,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-22,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-24,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-25,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-08-29,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-09-07,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-09-10,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-09-13,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-09-21,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-10-16,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-10-27,300,400,350,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-11-02,400,500,450,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-11-16,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-11-17,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-11-28,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-12-10,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-12-15,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,FAQ,2007-12-18,200,300,250,161
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Raddish,Other,FAQ,2007-12-10,200,300,250,161
Himachal Pradesh,Kangra,Palampur,Raddish,Other,FAQ,2007-12-05,200,300,250,161
Himachal Pradesh,Kangra,Palampur,Raddish,Other,FAQ,2007-12-17,300,400,350,161
Himachal Pradesh,Kangra,Palampur,Raddish,Other,FAQ,2007-12-26,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-01-07,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-01-16,200,400,300,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-02-14,300,350,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-02-20,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-02-23,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-02-27,200,250,200,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-03-01,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-03-15,400,500,450,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-04-05,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-04-09,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-04-18,200,400,300,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-04-20,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-05-07,500,600,550,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-05-29,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-06-06,400,500,450,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-06-27,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-07-03,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-07-10,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-08-06,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-08-24,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-09-03,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-09-06,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-09-11,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-09-26,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-10-01,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-10-08,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-10-18,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-10-26,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-11-21,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-11-30,200,300,250,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-12-11,300,400,350,161
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,FAQ,2007-12-13,200,300,250,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-03-30,600,650,630,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-04-07,200,400,300,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-05-25,400,800,600,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-05-30,500,600,550,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-06-04,500,700,600,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-07-02,200,300,250,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-10-18,300,500,400,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-10-22,300,500,400,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-10-24,200,300,250,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-10-30,400,600,500,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-11-19,200,250,210,161
Himachal Pradesh,Kullu,Kullu,Raddish,Other,FAQ,2007-12-06,200,300,250,161
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Raddish,Other,FAQ,2007-08-25,500,700,600,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-01-04,200,200,200,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-01-20,200,300,250,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-02-24,200,300,200,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-03-15,400,500,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-04-02,250,500,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-05-18,700,700,700,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-05-22,500,700,600,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-06-01,300,600,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-02,500,500,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-07,400,600,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-13,200,500,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-23,400,600,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-25,500,1000,1000,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-26,400,500,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-28,300,400,300,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-07-31,300,500,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-08-21,200,300,200,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-08-27,350,400,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-09-12,300,600,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-10-25,200,500,400,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-11-26,200,300,200,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-11-29,200,400,200,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Other,FAQ,2007-12-01,200,300,300,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Raddish,FAQ,2007-02-28,200,300,250,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Raddish,FAQ,2007-03-06,250,400,300,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Raddish,FAQ,2007-04-05,400,600,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Raddish,FAQ,2007-04-16,500,500,500,161
Himachal Pradesh,Mandi,Dhanotu (Mandi),Raddish,Raddish,FAQ,2007-04-25,300,500,400,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-04-02,300,400,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-04-03,300,500,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-05-25,400,700,400,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-05-30,400,600,600,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-06-04,300,500,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-06-06,400,600,500,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-06-11,300,400,400,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-06-20,300,400,400,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-08-04,200,300,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-08-16,500,500,500,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-08-21,400,400,400,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-09-20,400,600,500,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-09-26,250,500,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Other,FAQ,2007-12-24,200,200,200,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-01-12,900,1000,900,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-02-14,600,800,600,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-02-17,200,400,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-02-26,200,300,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-05-22,500,700,500,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-09-27,300,500,300,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-10-11,500,600,500,161
Himachal Pradesh,Mandi,Mandi(Mandi),Raddish,Raddish,FAQ,2007-10-16,400,500,400,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-01-06,200,200,200,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-01-09,200,200,200,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-05-15,700,700,700,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-08-07,500,700,600,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-09-14,400,500,400,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-09-25,500,600,500,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-09-26,600,600,600,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-10-19,300,400,400,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-10-31,200,300,300,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-11-06,400,400,400,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-11-08,200,200,200,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-11-14,300,300,300,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-11-15,250,300,300,161
Himachal Pradesh,Sirmore,Nahan,Raddish,Other,FAQ,2007-12-15,200,200,200,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-01-04,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-01-06,200,400,300,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-01-09,200,400,300,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-01-20,200,400,300,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-01-27,200,400,300,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-02-12,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-02-17,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-02-19,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-02-22,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-03-01,200,300,250,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-04-03,300,500,400,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-04-12,300,400,400,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-04-17,600,600,600,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-05-10,600,800,700,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-05-11,600,800,700,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-05-14,500,700,600,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-08-22,600,600,600,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-08-25,700,700,700,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-09-15,500,800,600,161
Himachal Pradesh,Sirmore,Paonta Sahib,Raddish,Other,FAQ,2007-09-21,400,700,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-11-15,400,1000,800,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-11-20,400,1000,800,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-11-22,300,600,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-11-28,300,1000,800,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-08,300,600,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-13,300,600,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-17,300,600,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-18,300,600,500,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-24,400,600,550,161
Gujarat,Ahmedabad,Ahmedabad,Raddish,Other,FAQ,2007-12-26,300,500,450,161
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Raddish,Raddish,FAQ,2007-10-20,350,500,450,161
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Raddish,Raddish,FAQ,2007-10-22,200,500,400,161
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Raddish,Raddish,FAQ,2007-10-25,400,500,500,161
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Raddish,Raddish,FAQ,2007-11-17,300,400,350,161
Gujarat,Bharuch,Ankleshwar,Raddish,Other,FAQ,2007-01-11,425,560,470,161
