State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2009-01-29,1400,2000,1500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2009-02-06,1600,5000,1600.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2009-10-08,1650,5000,2000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2009-10-15,2000,2000,2000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2009-10-29,2000,3000,2500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2009-11-19,2500,2500,2500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2009-11-20,2000,4000,2500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2009-11-26,1500,5000,2000.0,282
Karnataka,Belgaum,Athani,Ram,Ram,FAQ,2009-10-26,4000,4000,4000.0,282
Karnataka,Belgaum,Athani,Ram,Ram,FAQ,2009-11-09,2000,3000,2500.0,282
Karnataka,Belgaum,Athani,Ram,Ram,FAQ,2009-11-15,2200,3000,2900.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2009-03-17,3100,3100,3100.0,282
Karnataka,Davangere,Davangere,Ram,Ram,FAQ,2009-10-16,3000,4000,3500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-01-16,1000,1800,1500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-02-19,1200,1800,1500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-02-24,1200,1800,1600.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-03-05,1000,1400,1200.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-04-28,1200,1600,1400.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-06-02,1200,1600,1500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-06-25,1800,2200,2000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2009-06-30,1600,2000,1800.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-07-14,1400,1800,1500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2009-11-12,2200,2500,2400.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2009-11-17,1500,1800,1600.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2009-11-19,2000,2500,2200.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2009-12-15,1800,2200,2000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-01-16,10000,20000,13000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-01-23,10000,20000,16000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-02-20,10000,18000,14000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-02-27,14000,26000,19000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-05-15,6000,12000,8000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-06-19,16600,35000,30000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-07-17,8000,12000,9000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-08-13,16000,50000,20000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-08-27,18000,25000,20000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-09-11,10000,18000,15000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-11-19,15000,18000,17000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2015-12-10,8000,12000,9000.0,282
Karnataka,Bagalkot,Hungund,Ram,Ram,FAQ,2015-06-13,5800,7200,6500.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2015-01-11,7000,9000,8000.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2015-11-29,3800,7000,5400.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2015-12-17,8000,8000,8000.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2020-07-10,7500,9000,8000.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2020-11-29,7000,9500,8000.0,282
Karnataka,Davangere,Davangere,Ram,Ram,FAQ,2020-07-03,8000,12000,10000.0,282
Karnataka,Davangere,Davangere,Ram,Ram,FAQ,2020-08-14,8000,12000,10000.0,282
Karnataka,Davangere,Davangere,Ram,Ram,FAQ,2020-10-01,8000,12000,10000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-02-02,2800,11000,8500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-02-16,3250,9000,7200.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-03-08,3200,9400,8200.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-03-22,5000,12500,10000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-06-14,4000,5000,4500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-08-03,6000,9000,8200.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-09-13,6000,12500,8000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-11-08,4000,8000,6000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,FAQ,2012-12-28,3500,7000,5000.0,282
Karnataka,Bangalore,Kanakapura,Ram,Ram,FAQ,2012-06-18,100,100,100.0,282
Karnataka,Belgaum,Athani,Ram,Ram,FAQ,2012-03-11,4500,6000,5000.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2012-04-03,2700,2900,2800.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2012-09-26,2800,3200,3000.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2012-10-19,2500,3000,2761.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2012-01-22,3600,4500,4000.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2012-02-26,3700,6800,5500.0,282
Karnataka,Belgaum,Ramdurga,Ram,Ram,FAQ,2012-06-17,4500,6600,5500.0,282
Karnataka,Belgaum,Soundati,Ram,Ram,FAQ,2012-06-07,2890,3500,3000.0,282
Karnataka,Belgaum,Soundati,Ram,Ram,Medium,2012-09-10,5000,7000,6500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-02-21,2000,3000,2500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-03-06,2500,3200,3000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-04-10,3200,3600,3400.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-06-12,2600,3000,2700.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-06-26,2500,3500,3000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2012-07-17,2800,3200,3000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2012-09-04,3000,4500,4000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2012-10-09,2000,3000,2500.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2012-10-23,3400,5000,4000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2012-10-25,3500,4500,4000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,FAQ,2012-11-06,3000,4000,3500.0,282
Karnataka,Raichur,Sindhanur,Ram,Ram,Medium,2012-08-21,4000,7500,5600.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-02-14,1150,1500,1400.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-06-19,1250,5000,2000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-07-04,1300,1600,1500.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-07-31,1650,1650,1650.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-09-25,5000,5000,5000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-10-03,1500,5000,2000.0,282
Karnataka,Bagalkot,Badami,Ram,Ram,Medium,2008-10-31,2000,2000,2000.0,282
Karnataka,Belgaum,Kudchi,Ram,Ram,FAQ,2008-02-29,620,700,670.0,282
Karnataka,Bijapur,Bijapur,Ram,Ram,FAQ,2008-10-12,4000,4000,4000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2008-01-24,1600,2000,1800.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Medium,2008-02-15,1800,2200,2000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Large,2008-04-17,1600,2500,1800.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Large,2008-10-21,1700,2500,2000.0,282
Karnataka,Dharwad,Annigeri,Ram,Ram,Large,2008-12-16,3550,3550,3550.0,282
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-08 00:00:00,4000,4600,4300.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-09 00:00:00,4000,4500,4250.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-22 00:00:00,4000,4850,4425.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-04-23 00:00:00,4000,4700,4350.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-03 00:00:00,3500,4800,4150.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-08 00:00:00,4500,5250,4875.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-09 00:00:00,4500,5300,4900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-10 00:00:00,4500,5250,4875.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-07-23 00:00:00,4000,4850,4425.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-08-04 00:00:00,2000,3800,2900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-15 00:00:00,3500,4000,3750.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-16 00:00:00,3500,4100,3800.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-28 00:00:00,4000,5250,4625.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-10-13 00:00:00,3500,4300,3900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-10-16 00:00:00,4000,6200,5100.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-12-04 00:00:00,1500,2750,2125.0,359
Gujarat,Surat,Vyra,Gram Raw(Chholia),Other,FAQ,2021-07-10 00:00:00,2000,3000,2750.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-01 00:00:00,2500,3500,3050.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-26 00:00:00,2500,3000,2800.0,359
