State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-12,1835,1865,1850,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-13,1835,1865,1850,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-14,1835,1865,1850,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-15,1835,1865,1850,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-17,1835,1865,1850,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-07-28,1855,1880,1865,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-08-03,1865,1890,1875,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-08-07,1865,1890,1875,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-08-18,1880,1915,1895,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-08-24,1885,1920,1900,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-02,1885,1920,1900,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-04,1885,1920,1900,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-07,1910,1935,1920,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-08,1910,1940,1925,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-11,1930,1970,1950,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-12,1930,1970,1950,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-16,1960,1990,1975,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-19,1965,1995,1980,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-20,2030,2065,2050,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-25,2085,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-27,2135,2160,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-09-30,2150,2200,2175,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-10,2150,2200,2175,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-24,2140,2165,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-26,2140,2165,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-27,2140,2165,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-28,2140,2165,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-10-30,2140,2165,2150,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-11-02,2130,2150,2140,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-11-15,2130,2150,2140,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-11-20,2110,2130,2120,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-11-28,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-04,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-05,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-11,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-21,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-22,2090,2110,2100,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-28,2100,2125,2110,7
Uttar Pradesh,Varanasi,Varanasi,Red Gram,Other,FAQ,2006-12-30,2090,2115,2100,7
Uttar Pradesh,Sambhal,Chandausi,Red Gram,Other,FAQ,2006-03-16,2100,2200,2170.0,7
Uttar Pradesh,Sambhal,Chandausi,Red Gram,Other,FAQ,2006-03-18,2100,2200,2165.0,7
Uttar Pradesh,Sambhal,Chandausi,Red Gram,Other,FAQ,2006-04-05,2100,2200,2170.0,7
Uttar Pradesh,Sambhal,Chandausi,Red Gram,Other,FAQ,2006-04-11,2115,2190,2180.0,7
Uttar Pradesh,Sambhal,Chandausi,Red Gram,Other,FAQ,2006-04-13,2125,2200,2190.0,7
Madhya Pradesh,Harda,Harda,Red Gram,Other,FAQ,2016-01-14,3300,3650,3450,7
Madhya Pradesh,Harda,Khirakiya,Red Gram,Local,FAQ,2016-01-05,3950,4501,4290,7
Madhya Pradesh,Harda,Khirakiya,Red Gram,Local,FAQ,2016-01-16,3300,4271,4121,7
Madhya Pradesh,Hoshangabad,Itarsi,Red Gram,Desi(Whole),FAQ,2016-01-15,3940,4220,4220,7
Madhya Pradesh,Hoshangabad,Pipariya,Red Gram,Other,FAQ,2016-01-13,3700,4877,4375,7
Madhya Pradesh,Hoshangabad,Pipariya,Red Gram,Other,FAQ,2016-01-16,3800,4850,4300,7
Madhya Pradesh,Jabalpur,Jabalpur,Red Gram,Other,FAQ,2016-01-06,3800,4552,4050,7
Madhya Pradesh,Jabalpur,Sihora,Red Gram,Local,FAQ,2016-01-16,4101,4350,4225,7
Madhya Pradesh,Jabalpur,Sihora,Red Gram,Other,FAQ,2016-01-08,4000,4300,4261,7
Madhya Pradesh,Neemuch,Manasa,Red Gram,Other,FAQ,2016-01-13,3666,4301,3983,7
Madhya Pradesh,Neemuch,Neemuch,Red Gram,Other,FAQ,2016-01-13,3300,4761,4200,7
Madhya Pradesh,Neemuch,Neemuch,Red Gram,Other,FAQ,2016-01-16,3600,4881,4200,7
Madhya Pradesh,Panna,Ajaygarh,Red Gram,Other,FAQ,2016-01-08,4400,4610,4450,7
Madhya Pradesh,Raisen,Begamganj,Red Gram,Desi(Whole),FAQ,2016-01-19,3800,4400,4100,7
Madhya Pradesh,Raisen,Obedullaganj,Red Gram,Other,FAQ,2016-01-04,3514,4443,4443,7
Madhya Pradesh,Raisen,Obedullaganj,Red Gram,Other,FAQ,2016-01-12,3300,4120,4120,7
Madhya Pradesh,Raisen,Udaipura,Red Gram,Desi(Whole),FAQ,2016-01-05,4160,4500,4350,7
Madhya Pradesh,Raisen,Udaipura,Red Gram,Desi(Whole),FAQ,2016-01-18,4000,4250,4100,7
Madhya Pradesh,Rajgarh,Khujner,Red Gram,Other,FAQ,2016-01-02,4250,4290,4290,7
Madhya Pradesh,Rajgarh,Khujner,Red Gram,Other,FAQ,2016-01-13,4050,4050,4050,7
Madhya Pradesh,Ratlam,Sailana,Red Gram,Other,FAQ,2016-01-05,4100,4491,4295,7
Madhya Pradesh,Ratlam,Sailana,Red Gram,Other,FAQ,2016-01-11,4105,4350,4227,7
Madhya Pradesh,Sagar,Sagar,Red Gram,Other,FAQ,2016-01-02,3700,4470,4200,7
Madhya Pradesh,Sagar,Sagar,Red Gram,Other,FAQ,2016-01-12,3800,4510,4275,7
Madhya Pradesh,Sagar,Sagar,Red Gram,Other,FAQ,2016-01-15,3800,4400,4200,7
Madhya Pradesh,Sehore,Nasrullaganj,Red Gram,Other,FAQ,2016-01-07,3950,3950,3950,7
Madhya Pradesh,Sehore,Nasrullaganj,Red Gram,Other,FAQ,2016-01-08,3900,4100,4050,7
Madhya Pradesh,Seoni,Seoni,Red Gram,(Whole),FAQ,2016-01-07,3201,4025,4015,7
Madhya Pradesh,Shajapur,Susner,Red Gram,Other,FAQ,2016-01-05,4501,4501,4501,7
Madhya Pradesh,Sheopur,Sheopurkalan,Red Gram,Other,FAQ,2016-01-04,3990,3990,3990,7
Madhya Pradesh,Sheopur,Sheopurkalan,Red Gram,Other,FAQ,2016-01-16,4160,4160,4160,7
Madhya Pradesh,Shivpuri,Khatora,Red Gram,Other,FAQ,2016-01-07,4260,4260,4260,7
Madhya Pradesh,Tikamgarh,Niwadi,Red Gram,Other,FAQ,2016-01-08,3700,3800,3750,7
Madhya Pradesh,Ujjain,Nagda,Red Gram,Desi(Whole),FAQ,2016-01-14,3750,3800,3800,7
Madhya Pradesh,Ujjain,Nagda,Red Gram,Desi(Whole),FAQ,2016-01-16,3301,4150,3900,7
Madhya Pradesh,Ujjain,Ujjain,Red Gram,Desi(Whole),FAQ,2016-01-05,4180,4451,4280,7
Madhya Pradesh,Ujjain,Ujjain,Red Gram,Desi(Whole),FAQ,2016-01-13,3860,4270,4081,7
Madhya Pradesh,Ujjain,Ujjain,Red Gram,Desi(Whole),FAQ,2016-01-19,4051,4100,4100,7
Rajasthan,Bundi,Bundi,Red Gram,Other,FAQ,2016-01-05,3701,3900,3801,7
Rajasthan,Dausa,Bandikui,Red Gram,Other,FAQ,2016-01-02,3325,4450,3887,7
Rajasthan,Dausa,Bandikui,Red Gram,Other,FAQ,2016-01-09,3200,3200,3200,7
Rajasthan,Kota,Kota,Red Gram,Other,FAQ,2016-01-04,3621,4199,3900,7
Rajasthan,Pali,Sumerpur,Red Gram,(Whole),FAQ,2016-01-08,4225,4225,4225,7
Rajasthan,Pali,Sumerpur,Red Gram,(Whole),FAQ,2016-01-12,3750,3750,3750,7
Rajasthan,Udaipur,Udaipur (Grain),Red Gram,Other,FAQ,2016-01-06,3550,4300,4250,7
Rajasthan,Udaipur,Udaipur (Grain),Red Gram,Other,FAQ,2016-01-12,4200,4300,4290,7
