State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-08-04,900,900,900.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-08-17,800,800,800.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-09-15,900,900,900.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-09-29,700,700,700.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-10-08,900,900,900.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-10-27,700,700,700.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2015-10-31,700,700,700.0,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-07-09,1400,1600,1500,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-07-21,1200,1400,1300,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-08-12,1200,1500,1300,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-08-13,1200,1500,1300,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-09-29,1800,2000,1800,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-10-07,1400,1800,1600,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-10-08,1500,1500,1500,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-10-09,1400,1500,1500,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-10-22,1600,1600,1600,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-10-23,1500,1500,1500,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-11-10,1500,1500,1500,322
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Resinwood,Other,FAQ,2020-12-12,1500,1700,1500,322
