State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-03-06,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-03-11,2200.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-03-21,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-04-04,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-04-10,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-04-14,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-04-17,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-04-19,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-05-05,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-05-09,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-05-16,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-05-25,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-06-05,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-06-13,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-06-20,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-06-21,2150.0,2350.0,2250.0,3
West Bengal,Coochbehar,Haldibari,Rice,Common,FAQ,2017-12-10,2350.0,2600.0,2450.0,3
