State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-01-03,0.91,1.6600000000000001,1.08,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-01-06,0.91,1.25,1.0,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-01-12,0.83,1.25,1.04,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-01-14,0.84,1.25,1.04,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-02-06,1.25,2.08,1.66,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-02-09,1.25,2.08,1.41,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-02-11,1.6600000000000001,3.33,2.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-05,1.6600000000000001,2.08,1.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-08,1.5,2.08,1.66,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-11,0.83,1.5,1.08,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-13,0.83,1.5,1.0,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-15,0.66,1.25,0.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-21,0.58,1.08,0.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-25,0.41,1,0.66,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-26,0.58,1.08,0.62,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-03-29,0.58,1.25,0.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-04-08,0.16,0.58,0.35,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-04-09,0.2,0.54,0.37,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-04-11,0.16,0.58,0.37,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-04-28,0.54,1.33,0.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-05-14,0.58,1.25,0.75,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-06-02,0.25,0.58,0.37,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-06-07,0.25,0.41,0.33,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-04,0.33,0.83,0.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-05,0.41,0.83,0.54,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-11,0.12,0.41,0.18,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-14,0.2,0.41,0.25,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-19,0.25,0.66,0.37,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-07-22,0.29,0.66,0.41,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-01,0.25,0.5,0.37,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-04,0.37,0.62,0.45,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-06,0.33,0.66,0.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-09,0.33,0.58,0.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-16,0.25,0.66,0.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-19,0.5,1.16,0.75,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-25,0.83,1.16,1.0,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-26,0.66,0.91,0.83,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-27,0.58,1,0.75,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-08-29,0.58,1,0.75,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-05,0.66,0.83,0.75,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-06,0.5,0.66,0.54,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-08,0.25,0.41,0.33,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-09,0.41,0.75,0.5,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-18,0.5,0.83,0.58,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-09-19,0.41,0.75,0.62,374
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Rose(Local),Rose (Local),FAQ,2007-10-03,0.75,0.91,0.83,374
