State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-05-13,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-05-31,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-06-01,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-08-15,2000,2000,2000,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-09-09,1300,1300,1300,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-09-16,1500,1500,1500,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-09-20,1500,1500,1500,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-09-28,1500,1500,1500,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-11-14,600,600,600,306
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Round gourd,Other,FAQ,2017-11-17,800,800,800,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-04-14,1000,1000,1000,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-05-17,430,430,430,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-05-18,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-05-31,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-06-01,400,400,400,306
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Round gourd,Other,FAQ,2017-11-20,600,600,600,306
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Round gourd,Other,FAQ,2017-01-04,1000,1500,1250,306
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Round gourd,Other,FAQ,2017-01-30,600,700,680,306
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Round gourd,Other,FAQ,2017-02-11,1800,2000,1880,306
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Round gourd,Other,FAQ,2017-02-15,1800,2000,1910,306
