State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-06-21,1911,1930,1930,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-07-03,1900,1908,1908,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-07-13,1800,1950,1950,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-07-23,1941,1950,1950,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-08-29,1725,1852,1840,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-09-22,1750,1845,1845,247
Haryana,Panchkula,Barwala,Sarasum,Other,FAQ,2007-10-09,1800,1800,1800,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-02-18,370,370,370.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-02-21,311,350,350.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-03-07,351,351,351.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-03-17,400,415,415.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-03-24,385,385,385.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-04-08,400,400,400.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-11-19,6355,6695,6550.0,247
Gujarat,Banaskanth,Deesa(Bhildi),Sarasum,Other,FAQ,2009-11-25,2515,2515,2515.0,247
Haryana,Hissar,Uklana,Sarasum,Other,FAQ,2009-05-20,2298,2300,2299.0,247
Telangana,Mahbubnagar,Shadnagar,Sarasum,Other,FAQ,2009-01-07,4800,5300,5000.0,247
Telangana,Mahbubnagar,Shadnagar,Sarasum,Other,FAQ,2009-01-14,4800,5300,5000.0,247
