State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Cachar,Cachar,She Buffalo,Other,FAQ,2007-01-19,3500,8500,4500,217
Assam,Cachar,Cachar,She Buffalo,Other,FAQ,2007-07-27,4200,10600,6500,217
Assam,Cachar,Cachar,She Buffalo,Other,FAQ,2007-12-07,3200,13500,6500,217
Karnataka,Bagalkot,Badami,She Buffalo,She Baffelo,FAQ,2007-08-08,6950,14000,12000,217
Karnataka,Bagalkot,Badami,She Buffalo,She Baffelo,FAQ,2007-09-13,5000,12500,11000,217
Karnataka,Bagalkot,Badami,She Buffalo,She Baffelo,FAQ,2007-09-27,5000,15000,9500,217
Karnataka,Bagalkot,Badami,She Buffalo,She Baffelo,FAQ,2007-10-05,5000,15000,10000,217
Karnataka,Bagalkot,Badami,She Buffalo,She Baffelo,Medium,2007-11-15,5000,10500,9000,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-01-04,4500,23000,13000,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-01-11,4000,22000,13500,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-03-29,10000,24500,15000,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-04-26,10000,22500,12000,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-06-28,6250,20000,14000,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-07-19,5000,22000,11500,217
Karnataka,Bagalkot,Jamakhandi,She Buffalo,She Baffelo,FAQ,2007-10-11,8000,24000,14500,217
Karnataka,Belgaum,Athani,She Buffalo,She Baffelo,FAQ,2007-05-27,12000,15000,12205,217
Karnataka,Belgaum,Athani,She Buffalo,She Baffelo,FAQ,2007-07-29,7500,16000,15000,217
Karnataka,Belgaum,Athani,She Buffalo,She Baffelo,FAQ,2007-08-19,5500,22000,13000,217
Karnataka,Belgaum,Bailahongal,She Buffalo,She Baffelo,FAQ,2007-02-11,9500,12000,11000,217
Karnataka,Belgaum,Bailahongal,She Buffalo,She Baffelo,FAQ,2007-02-12,6000,16000,10000,217
