State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Thirssur,Thrissur,Snakeguard,Snakeguard,FAQ,2009-10-23,1200,1500,1400,156
Kerala,Thirssur,Thrissur,Snakeguard,Snakeguard,FAQ,2009-10-30,800,1000,900,156
Kerala,Thirssur,Thrissur,Snakeguard,Snakeguard,FAQ,2009-11-13,1000,1200,1100,156
Kerala,Thirssur,Wadakkanchery,Snakeguard,Other,FAQ,2009-02-26,1000,1200,1100,156
Madhya Pradesh,Harda,Harda,Snakeguard,Snakeguard,FAQ,2009-06-29,1400,1500,1450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-01-07,300,300,300,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-02-21,150,150,150,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-03-30,600,600,600,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-04-06,300,600,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-04-22,540,1125,800,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-05-11,360,600,500,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-05-13,300,570,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-05-14,300,570,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-05-16,300,600,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-05-19,300,600,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-04,210,330,300,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-14,210,525,400,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-15,700,2750,1800,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-22,180,525,350,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-27,240,675,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-06-29,1200,2100,1800,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-07-01,270,300,280,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-07-12,240,800,500,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-07-22,240,255,245,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-07-31,228,450,340,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-08-03,300,480,400,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-08-12,120,300,200,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-09-19,270,270,270,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-09-26,360,360,360,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-10-12,360,360,360,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-11-07,300,600,450,156
Maharashtra,Kolhapur,Kolhapur,Snakeguard,Other,FAQ,2009-11-16,480,480,480,156
