State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-03-13,4250,5210,5160,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-03-15,3750,4750,4500,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-03-24,4050,4850,4750,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-03-27,4000,4800,4650,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-05-01,2750,4000,3500,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-05-05,2750,4000,3500,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-08-02,3500,4000,3650,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-08-10,3500,4100,3800,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-08-17,3200,4200,4000,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-09-01,3000,3500,3200,135
Gujarat,Sabarkantha,Dhansura,Soanf,Other,FAQ,2007-09-22,2800,3550,3500,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-01-12,4500,6405,6000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-03-03,4000,4900,4500,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-03-10,4350,5650,5000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-03-19,3750,4625,4200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-04,3250,4675,4200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-05,3500,5500,4250,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-07,4000,5755,4200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-17,3250,4350,4000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-24,2750,4150,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-04-27,2750,3500,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-05-25,2500,3900,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-06-01,2900,3600,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-06-04,2750,3135,3000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-06-22,2625,3250,3000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-06-29,3500,4390,3800,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-07-12,3000,4255,4000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-07-17,2760,3655,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-07-23,3000,3855,3300,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-08-23,3000,3625,3250,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-09-01,3000,3370,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-09-06,3000,3375,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-09-13,3125,3555,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-09-14,3000,3500,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-10-01,2900,3375,3000,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-10-19,2900,3450,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-10-23,3000,3590,3300,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-10-27,3000,3500,3200,135
Gujarat,Sabarkantha,Modasa,Soanf,Other,FAQ,2007-11-23,3250,3700,3500,135
Gujarat,Sabarkantha,Modasa(Tintoi),Soanf,Other,FAQ,2007-03-09,4000,4500,4300,135
Gujarat,Sabarkantha,Modasa(Tintoi),Soanf,Other,FAQ,2007-03-22,3250,3875,3500,135
Gujarat,Sabarkantha,Modasa(Tintoi),Soanf,Other,FAQ,2007-04-20,3000,4000,3500,135
Gujarat,Sabarkantha,Modasa(Tintoi),Soanf,Other,FAQ,2007-06-13,2750,3750,3300,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-03-01,4000,6765,5383,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-03-05,4000,5830,4915,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-03-08,4000,5405,4703,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-03-14,3750,5605,4678,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-04-05,3500,7500,5500,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-04-30,2500,4805,3653,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-05-07,2750,5300,4025,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-05-11,3000,5000,4000,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-05-15,3055,6060,4558,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-05-21,2850,4950,3900,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-06-05,2500,4125,3313,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-06-11,2500,5125,3813,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-06-16,2750,5055,3903,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-06-18,2750,4045,3398,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-06-26,2500,4265,3383,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-07-12,3150,3780,3465,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-07-13,3000,5105,4053,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-07-18,3105,4225,3665,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-07-25,3155,4215,3685,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-07-27,3030,4400,3715,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-08-07,3450,4605,4028,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-08-09,3250,3500,3375,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-08-10,3205,3900,3553,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-08-23,3125,3360,3242,135
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,2007-10-15,2950,3905,3427,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-01-30,6000,7500,6750,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-02-07,6000,8000,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-02-13,6000,8000,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-02-14,6000,8000,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-02-15,6000,8000,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-02-28,6000,7500,6750,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-03-02,5500,8500,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-03-06,5500,8500,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-03-09,5500,8500,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-03-12,5500,8500,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-03-13,5500,8500,7000,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-05-11,4000,5000,4500,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-06-12,3500,5000,4250,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-06-14,3500,5000,4250,135
Gujarat,Vadodara(Baroda),Vadodara,Soanf,Other,FAQ,2007-06-16,4000,4000,4000,135
