State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-01-17,8000,9000,8700,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-01-23,8000,9000,8800,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-02-11,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-02-12,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-02-19,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-02-20,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-02-27,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-03-19,8000,9000,8800,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-04-14,6000,12000,10000,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-06-03,6000,8000,7500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-06-10,7000,8000,7600,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-07-04,8000,9000,8800,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-07-07,8000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-07-08,8000,9000,8800,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-07-11,8000,9000,8800,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-07-16,8000,10000,9500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-08-19,7000,10000,9000,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-08-29,7000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-09-22,7000,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-09-26,7500,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-10-12,7500,9000,8500,207
Gujarat,Vadodara(Baroda),Vadodara,Soapnut(Antawala/Retha),Other,FAQ,2009-12-02,9000,10000,9800,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-03,1000,1200,1100,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-08,1000,1200,1100,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-09,1000,1200,1100,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-12,1000,1200,1100,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-22,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-10-29,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-02,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-03,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-12,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-18,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-23,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-24,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-11-30,1100,1450,1325,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-12-04,1300,1500,1400,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-12-11,1300,1500,1400,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-12-16,1300,1500,1400,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Medium,FAQ,2009-12-26,1300,1500,1400,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-01-19,1800,3000,2800,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-02-10,1800,3000,2800,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-03-02,1500,2000,1800,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-03-24,2000,3900,3200,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-03-25,2000,3900,3200,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-03-26,2000,3900,3200,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-03-31,2000,3900,3200,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-05-04,1000,1800,1500,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-05-21,1000,1800,1500,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-05-25,1000,1800,1500,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-06-05,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,Medium,2009-06-08,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,Medium,2009-06-12,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,Medium,2009-06-17,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-06-22,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-06-24,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-06-25,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-06-30,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-07-13,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-07-20,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-07-23,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-07-29,1000,1500,1250,207
Karnataka,Bangalore,Bangalore,Soapnut(Antawala/Retha),Other,FAQ,2009-07-31,1000,1500,1250,207
