State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Mahendragarh-Narnaul,Mohindergarh,Spinach,Spinach,FAQ,2017-12-13,300,1000,800,342
Haryana,Mahendragarh-Narnaul,Mohindergarh,Spinach,Spinach,FAQ,2017-12-14,400,800,800,342
Haryana,Mahendragarh-Narnaul,Mohindergarh,Spinach,Spinach,FAQ,2017-12-21,400,600,500,342
Haryana,Mahendragarh-Narnaul,Mohindergarh,Spinach,Spinach,FAQ,2017-12-26,400,700,500,342
Haryana,Mahendragarh-Narnaul,Mohindergarh,Spinach,Spinach,FAQ,2017-12-29,400,700,500,342
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Other,FAQ,2017-07-14,800,1500,1500,342
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Other,FAQ,2017-07-20,1000,1500,1500,342
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Other,FAQ,2017-08-23,1000,1500,1500,342
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Other,FAQ,2017-08-27,1000,1500,1500,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-10-29,500,700,600,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-10-31,500,600,550,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-11-02,500,600,550,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-11-03,500,600,550,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-11-12,500,700,600,342
Haryana,Mewat,Nuh,Spinach,Spinach,FAQ,2017-11-21,500,700,600,342
Haryana,Panipat,Bapauli,Spinach,Other,FAQ,2017-11-13,650,1050,850,342
Haryana,Panipat,Bapauli,Spinach,Other,FAQ,2017-12-31,300,700,500,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-01-11,950,1050,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-01-13,900,1100,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-01-17,900,1100,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-01-18,900,1050,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-01-25,700,800,750,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-02-01,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-02-04,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-02-25,800,800,800,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-03-15,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-03-16,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-03-25,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-03-30,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-01,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-03,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-07,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-08,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-13,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-14,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-04-28,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-05-18,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-05-19,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-06-02,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-06-16,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-06-23,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-07-07,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-07-11,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-07-13,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-07-18,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-07-25,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-09,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-15,2000,2000,2000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-16,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-21,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-29,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-08-30,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-09-05,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-09-14,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-09-26,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-09-30,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-10-10,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-10-18,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-10-23,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-10-25,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-10-30,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-11-20,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-11-27,1200,1200,1200,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-12-25,1000,1000,1000,342
Haryana,Rohtak,Meham,Spinach,Other,FAQ,2017-12-30,1000,1000,1000,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-01-02,800,1000,800,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-01-03,700,1000,700,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-01-13,600,800,600,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-01-28,600,800,600,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-02-02,600,800,600,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-03-01,500,700,500,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-03-03,500,700,500,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-03-04,500,700,500,342
Haryana,Sonipat,Sonepat,Spinach,Other,FAQ,2017-03-08,500,800,500,342
