State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-02,2000,2500,2250,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-03,1500,2500,2100,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-10,1000,3500,2500,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-13,2000,4000,3200,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-18,1800,3000,2500,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-24,1500,2500,2250,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-01-30,1000,2000,1600,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-01,1500,2000,1800,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-02,1400,2000,1800,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-09,2000,3000,2500,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-11,1000,2000,1800,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-13,2000,2500,2300,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-02-23,800,2000,1500,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-03-01,1500,2000,1800,300
Gujarat,Ahmedabad,Ahmedabad,Surat Beans (Papadi),Other,FAQ,2017-03-04,1000,2000,1600,300
