State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-01-20,700,800,750,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-02-02,600,800,700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-02-10,600,700,650,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-02-17,700,800,750,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-03-02,700,800,750,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-03-03,600,800,700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-03-26,700,1000,800,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-04-02,600,800,700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-04-03,600,800,700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-04-24,800,1000,900,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-04-30,600,800,700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-05-30,900,1000,950,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-06-10,1200,1400,1300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-06-11,1300,1500,1400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-06-17,1000,1200,1100,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-06-24,1100,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-06-25,1000,1200,1100,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-04,1200,1400,1300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-08,1100,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-13,1100,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-18,1200,1400,1300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-20,1400,1600,1500,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-22,1000,1800,1700,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-07-23,1700,1900,1800,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-08-05,1200,1400,1300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-07,1200,1400,1300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-15,1000,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2009-10-16,1000,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-21,1000,1400,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-22,1000,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-23,1000,1200,1100,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-24,1000,1400,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-10-29,1000,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-11-03,1000,1400,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-11-11,1100,1300,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-11-30,1000,1400,1200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2009-12-05,1200,1400,1300,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-01-09,300,400,340,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-01-10,350,500,400,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-01-24,350,400,380,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-01-31,300,400,350,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-02-06,300,500,400,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-02-24,400,510,480,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-09-29,400,500,440,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-09,365,565,465,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-14,450,500,480,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-16,450,580,480,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-20,400,600,500,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-09,450,600,500,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-18,370,570,470,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-02,900,1100,1000,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-09,500,700,640,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-16,600,800,690,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-18,500,750,650,178
Karnataka,Chikmagalur,Koppa,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-23,715,915,815,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-21,1100,1200,1100,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-10-29,1300,1600,1440,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-03,1000,1200,1200,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-30,1500,1600,1550,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-09,1600,1700,1700,178
Karnataka,Hassan,Hassan,Suvarna Gadde,Suvarnagadde,FAQ,2009-12-18,1500,1700,1600,178
Karnataka,Madikeri(Kodagu),Somvarpet,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-10,500,5500,513,178
Karnataka,Madikeri(Kodagu),Somvarpet,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-11,666,666,666,178
Karnataka,Madikeri(Kodagu),Somvarpet,Suvarna Gadde,Suvarnagadde,FAQ,2009-11-27,500,800,600,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-01-12,1800,2400,2000,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-01-30,1600,2000,1800,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-02-12,1600,2000,1800,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,Large,2015-04-16,1600,2000,1800,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-04-28,2300,2500,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-05-25,2200,2600,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-05-28,2000,2600,2300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-06-08,2300,2600,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-06-10,2400,2600,2500,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-06-30,2000,2400,2200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-07-29,2200,2600,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-08-05,2300,2600,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-09-03,2200,2400,2300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-09-07,2200,2400,2300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-09-09,2000,2400,2200,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-10-29,2000,2500,2300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-10-31,2200,2400,2300,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-11-09,2400,2600,2500,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-11-25,2200,2600,2400,178
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Suvarna Gadde,Suvarnagadde,FAQ,2015-12-02,2300,2500,2400,178
