State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-05-26,500,600,530,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-05-28,550,650,630,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-05-29,500,600,530,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-01,500,600,530,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-02,500,550,520,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-10,680,780,710,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-16,400,500,430,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-19,400,500,430,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-06-25,380,480,430,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-07-23,680,800,730,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-07-31,675,800,740,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-08-10,675,800,750,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-09-07,770,930,870,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-09-08,770,930,870,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-09-09,750,900,850,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-09-16,800,900,830,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-09-17,830,950,900,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-09,900,1050,1000,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-13,940,1100,1020,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-20,1050,1230,1140,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-21,1050,1230,1140,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-27,1150,1300,1250,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-10-28,1150,1300,1250,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-11-16,1200,1370,1300,173
West Bengal,Jalpaiguri,Jalpaiguri Sadar,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-12-04,1250,1350,1320,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-01-18,340,370,360,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-02,350,400,375,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-03,350,400,375,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-06,380,420,400,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-11,380,420,400,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-26,225,275,250,173
West Bengal,Medinipur(E),Egra/contai,Sweet Pumpkin,Sweet Pumpkin,FAQ,2009-02-27,280,320,300,173
