State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-09-14,3600,3800,3700,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-09-16,3600,3800,3700,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-09-19,3600,3700,3650,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-09-21,3600,3700,3650,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-09-29,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-05,3400,3600,3450,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-06,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-07,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-20,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-22,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-10-30,3200,3250,3225,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-11-06,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-11-08,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-11-14,3200,3300,3200,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-11-20,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-11-28,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-12-03,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-12-18,3200,3300,3250,208
Chattisgarh,Bastar,Lohandiguda,Tamarind Seed,Tamarind Seed,FAQ,2021-12-20,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-01-04,4300,6500,5400,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-01-11,4000,5600,4800,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-02-06,3400,3500,3450,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-07-19,5000,5200,5100,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-09-13,3900,4000,3950,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-09-20,3450,3550,3500,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-10-21,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-11-02,3200,3250,3225,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-11-05,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-11-08,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-11-10,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-11-20,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-02,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-04,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-06,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-20,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-29,3200,3300,3250,208
Chattisgarh,Bastar,Muli,Tamarind Seed,Tamarind Seed,FAQ,2021-12-31,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-02-02,3400,3500,3450,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-03-15,3605,3615,3610,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-05-31,3600,3600,3600,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-08-28,3800,3900,3850,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-10,3600,3700,3650,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-11,3600,3800,3700,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-12,3600,3800,3700,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-19,3500,3600,3550,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-28,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-09-30,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-10-26,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-10-27,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-11-02,3200,3250,3225,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-11-07,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-11-11,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-11-26,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-11-30,3200,3300,3250,208
Chattisgarh,Bastar,Tokapal,Tamarind Seed,Tamarind Seed,FAQ,2021-12-25,3200,3300,3250,208
Chattisgarh,Bijapur,Bijapur,Tamarind Seed,Other,FAQ,2021-07-31,3100,3100,3100,208
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,FAQ,2021-01-21,3700,3800,3750,208
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,FAQ,2021-02-10,3800,3900,3850,208
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,FAQ,2021-02-26,3600,3700,3650,208
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,FAQ,2021-02-27,3600,3700,3650,208
Chattisgarh,Dantewada,Gidam,Tamarind Seed,Tamarind Seed,FAQ,2021-03-06,3500,3600,3550,208
