State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Jaipur,Sambhar (Kishangarh renwal),Taramira,Other,FAQ,2017-04-04,4350,4350,4350,76
Rajasthan,Jaipur,Sambhar (Kishangarh renwal),Taramira,Other,FAQ,2017-04-14,4050,4050,4050,76
Rajasthan,Jaipur,Sambhar (Kishangarh renwal),Taramira,Other,FAQ,2017-04-16,4370,4370,4370,76
Rajasthan,Jaipur,Sambhar (Kishangarh renwal),Taramira,Other,FAQ,2017-12-22,4400,4400,4400,76
Rajasthan,Jalore,Bhinmal,Taramira,Other,FAQ,2017-10-28,3375,3375,3375,76
Rajasthan,Jalore,Bhinmal,Taramira,Other,FAQ,2017-11-01,3390,3391,3390,76
Rajasthan,Jalore,Bhinmal,Taramira,Other,FAQ,2017-11-16,3300,3350,3325,76
Rajasthan,Jalore,Bhinmal,Taramira,Other,FAQ,2017-11-22,4050,4071,4065,76
Rajasthan,Jalore,Bhinmal,Taramira,Other,FAQ,2017-11-24,4091,4091,4091,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-02-21,4000,4100,4050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-06,3100,3200,3150,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-10,3000,3100,3050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-13,3000,3100,3050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-16,3000,3100,3050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-17,3000,3100,3050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-19,3000,3100,3050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-20,3500,3600,3550,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-03-31,4000,4100,4050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-04-10,4000,4100,4050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-04-11,4000,4100,4050,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-04-18,4100,4150,4125,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-04-20,4100,4200,4150,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-04-27,4100,4200,4150,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-05-26,3550,3700,3625,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-06-08,3500,3600,3550,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-06-10,3500,3600,3550,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-06-11,3500,3600,3550,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-07-20,3500,3600,3550,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-08-14,3300,3400,3350,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-08-17,3400,3500,3450,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-09-12,3500,3650,3575,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-10-17,3300,3400,3350,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-10-18,3300,3400,3350,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-10-28,3034,3450,3242,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-11-07,3400,3500,3450,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-11-26,3400,3500,3450,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,2017-12-23,3600,4000,3800,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-02-14,6000,7000,6500,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-03-07,3100,3200,3150,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-03-12,3000,3100,3050,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-03-15,3000,3100,3050,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-04-08,4100,4300,4200,76
Rajasthan,Jodhpur,Jodhpur (Grain),Taramira,Other,FAQ,2017-04-12,4300,4400,4350,76
