State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Malappuram,Manjeri,Tea,Other,FAQ,2006-09-20,5800,8700,7100.0,44
Kerala,Malappuram,Manjeri,Tea,Other,FAQ,2006-11-08,5700,8500,6700.0,44
Kerala,Malappuram,Manjeri,Tea,Other,FAQ,2006-11-22,5700,8400,6700.0,44
Kerala,Malappuram,Manjeri,Tea,Other,FAQ,2006-12-09,6000,8800,7100.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-01-06,9000,15000,12000.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-02-05,5000,15000,9000.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-03-28,9000,15000,13000.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-05-10,9000,15000,10000.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-06-16,9000,13000,10000.0,44
Odisha,Puri,Sakhigopal,Tea,All Dust,FAQ,2006-08-05,9000,15000,13000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-02-08,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-02-09,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-02-13,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-03-15,16500,17500,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-03-20,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-04-04,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-04-16,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-04-24,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-04-25,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-09,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-19,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-22,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-23,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-24,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-05-28,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-06-14,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-06-23,16000,17000,17000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-07-02,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-07-06,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-07-07,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-07-25,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-08-07,18000,19000,19000.0,44
Jharkhand,Deogarh,Madhupur,Tea,Assam C.T.C. Dust,FAQ,2012-08-28,18000,19000,19000.0,44
