State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-01-05,4200,4600,4400.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-01-29,8000,9000,8500.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-09,4500,5000,4800.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-18,5000,5500,5200.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-19,6500,7000,6800.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-21,8000,9000,8500.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-22,7500,8500,8000.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-23,7000,8000,7500.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-02-27,8000,8500,8200.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-03-01,7000,8000,7500.0,234
West Bengal,Medinipur(E),Tamluk (Medinipur E),Tube Flower,Other,FAQ,2007-03-07,9000,12000,10000.0,234
