State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-03-02,0.41,0.83,0.52,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-03-10,0.83,1.87,1.04,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-03-11,0.62,1.6600000000000001,0.93,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-03-21,0.52,1.45,0.83,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-06-21,0.72,1.25,0.83,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-06-26,0.72,1.45,0.87,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-05,0.2,0.31,0.25,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-07,0.2,0.41,0.31,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-12,0.1,0.31,0.2,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-13,0.12,0.31,0.25,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-19,0.2,0.52,0.33,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-20,0.31,0.62,0.41,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-21,0.2,0.52,0.37,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-26,0.2,0.62,0.41,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-30,0.62,1.45,1.04,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-07-31,0.52,1.35,0.95,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-02,1.04,1.6600000000000001,1.25,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-07,1.04,1.45,1.25,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-10,0.83,1.25,0.93,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-11,0.93,1.45,1.04,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-17,0.52,0.93,0.83,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-22,0.52,0.83,0.62,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-24,0.41,0.83,0.62,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-25,0.62,1.04,0.72,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-08-27,0.52,0.93,0.62,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-09-03,1.04,2.08,1.25,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-09-08,0.62,1.04,0.83,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-09-13,0.83,1.25,1.04,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-09-17,0.72,1.25,0.83,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-09-29,0.83,1.25,1.04,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-12-17,0.31,0.72,0.41,401
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Double),Tube Rose (Double),FAQ,2007-12-30,0.47,1.25,0.72,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-01-01,2.7,3.33,3.02,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-01-06,1.25,2.08,1.77,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-01-30,2.5,3.54,3.12,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-04,5.2,7.29,6.25,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-08,2.08,3.12,2.7,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-12,1.66,2.6,2.39,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-14,3.75,5.41,5.0,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-22,4.16,5.2,4.79,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-02-24,3.12,5,4.68,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-03-11,1.04,2.08,1.77,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-03-13,0.83,1.45,1.35,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-03-25,2.08,4.16,3.75,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-04-06,2.08,3.22,2.87,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-04-07,4.16,5.41,5.2,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-05-17,2.08,5.2,4.16,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-05-20,4.16,6.45,5.93,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-05-21,4.16,6.56,6.04,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-05-22,3.75,5.2,4.79,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-05-28,2.08,3.33,2.91,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-06-29,0.83,1.35,1.14,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-08-01,0.41,0.62,0.54,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-09-02,2.29,2.81,2.5,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-09-04,2.5,3.12,2.87,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-10-07,3.75,4.58,4.16,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-06,1.66,2.5,2.33,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-08,1.66,2.6,2.39,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-14,1.66,2.7,2.41,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-20,1.66,3.12,2.81,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-21,2.91,3.75,3.45,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-11-30,3.54,6.66,6.04,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-12-02,3.54,6.87,6.25,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-12-05,4.16,6.25,5.93,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2017-12-31,3.33,6.04,5.41,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-01-12,4.16,8.33,7.08,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-01-24,6.25,10.41,9.16,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-01,5.2,7.91,6.66,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-03,4.16,6.25,5.41,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-09,5.2,7.29,6.35,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-10,5.2,7.29,6.35,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-12,5.2,7.29,6.45,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-14,5.2,7.29,6.45,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-18,2.5,4.16,3.75,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-24,2.08,4.16,3.33,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-25,2.08,4.16,3.33,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-02-29,1.66,3.75,3.12,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-03-01,1.66,2.91,2.29,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-03-14,1.25,2.08,1.87,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-06-28,2.91,5.2,4.16,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-07-01,2.08,3.75,3.12,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-07-25,0.52,1.04,0.87,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-08-09,0.52,1.25,0.93,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-08-11,0.83,1.14,1.04,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-08-28,1.25,2.08,1.77,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-02,1.66,3.33,3.12,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-08,1.66,2.5,2.12,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-12,1.04,1.45,1.29,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-14,1.04,1.66,1.45,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-22,1.25,2.08,1.7,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-09-29,4.16,6.25,5.41,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-10-04,2.08,4.16,3.43,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-10-09,3.12,5.2,4.37,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-10-23,4.16,6.25,5.41,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-10-28,4.16,8.33,6.25,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-11-11,6.25,8.33,6.66,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-11-15,8.33,12.5,11.04,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-11-18,6.25,8.33,7.29,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-11-24,6.25,10.41,8.75,401
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Double),Other,FAQ,2020-11-27,8.33,14.58,11.66,401
