State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-05-02,20,30,25.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-06-21,30,60,50.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-01,10,25,20.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-06,15,25,20.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-13,25,40,35.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-17,35,50,42.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-19,30,40,35.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-26,15,30,25.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-30,30,50,40.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-08-09,15,35,25.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-08-21,25,40,35.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-08-30,25,40,35.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-09,60,80,70.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-14,30,50,40.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-22,30,50,40.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-26,30,50,40.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-27,35,55,45.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-10-08,40,60,50.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-10-11,40,60,50.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-12-17,90,120,110.0,408
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-12-25,90,120,110.0,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-05-07,20,30,25.0,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-07-24,15,35,25.0,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Tube Rose (Loose),FAQ,2007-09-14,50,60,55.0,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-02-19,8000,11000,10000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-02-20,8000,12000,10800,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-06-19,6000,10000,8600,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-06-24,4000,7000,6000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-06-28,8000,15000,13000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-06-29,8000,18000,14800,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-06-30,8000,18000,15000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-07-07,2000,4000,3200,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-07-16,2000,5000,4000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-07-21,2000,4000,3400,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-07-23,5000,8000,7000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-07-26,5000,7500,7000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-08-02,6000,8000,6800,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-08-16,8000,12000,10000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-08-20,10000,13000,12000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-09-12,4000,6000,5000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-09-18,5000,8000,7000,408
NCT of Delhi,Delhi,"Flower Market,Gazipur",Tube Rose(Loose),Other,FAQ,2020-10-03,2000,4000,3200,408
