State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-03-01,0.62,0.83,0.72,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-03-06,0.52,1.1400000000000001,0.72,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-03-10,0.12,0.31,0.25,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-03-26,0.08,0.25,0.2,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-04-08,0.2,0.62,0.41,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-04-20,0.2,0.83,0.52,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-04-21,0.29,1.04,0.62,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-05-28,0.41,0.83,0.62,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-06-01,0.2,0.41,0.31,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-06-03,0.2,0.41,0.31,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-06-07,0.16,0.33,0.25,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-06-08,0.1,0.2,0.16,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-07,0.2,0.41,0.31,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-08,0.16,0.52,0.41,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-10,0.16,0.37,0.25,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-12,0.1,0.31,0.25,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-16,0.1,0.31,0.16,377
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Tube Rose(Single),Tube Rose (Single),FAQ,2006-07-17,0.08,0.29,0.2,377
