State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-05-29,200,200,200,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-06-06,200,200,200,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-06-08,200,200,200,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-06-23,200,300,300,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-11,200,200,200,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-13,1200,1200,1200,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-19,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-20,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-25,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-10-28,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-11-10,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-11-13,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-11-21,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-11-24,1000,2000,2000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-11-28,1000,1000,1000,73
Haryana,Fatehabad,Fatehabad,Water Melon,Other,Medium,2007-12-02,1000,1500,1500,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-07,700,800,750,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-17,800,800,800,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-18,800,800,800,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-20,800,800,800,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-26,500,725,600,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-04-28,800,950,900,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-03,650,800,650,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-06,500,700,550,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-07,600,600,600,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-13,400,450,400,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-16,300,500,400,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-18,350,400,375,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-22,250,250,250,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-24,350,450,400,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-05-26,350,400,375,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-06-07,250,350,300,73
Haryana,Fatehabad,Ratia,Water Melon,Other,Small,2007-06-11,230,400,300,73
Haryana,Gurgaon,Gurgaon,Water Melon,Other,Medium,2007-05-05,600,650,625,73
Haryana,Gurgaon,Gurgaon,Water Melon,Other,Large,2007-05-16,700,800,760,73
Haryana,Gurgaon,Gurgaon,Water Melon,Other,Medium,2007-05-17,600,700,650,73
Haryana,Gurgaon,Gurgaon,Water Melon,Other,Medium,2007-05-20,600,700,650,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-01-05,900,1000,1000,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-03-21,750,750,750,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-03-22,640,640,640,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-03,400,600,425,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-04,400,640,485,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-06,400,525,400,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-07,370,500,370,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-17,400,400,400,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-19,500,680,500,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-27,490,500,490,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-04-28,500,600,500,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-05-03,450,525,500,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-05-08,300,400,350,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-05-09,300,400,300,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-05-11,300,400,350,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-10-16,900,900,900,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-10-19,800,800,800,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-11-12,850,850,850,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-11-15,700,700,700,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-11-20,647,647,647,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-11-22,809,1250,809,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-11-24,650,650,650,73
Haryana,Hissar,Hissar,Water Melon,Other,Small,2007-12-25,670,670,670,73
Haryana,Hissar,Uklana,Water Melon,Water Melon,Medium,2007-05-10,400,400,400,73
Haryana,Hissar,Uklana,Water Melon,Water Melon,Medium,2007-06-04,250,250,250,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-02-08,600,700,650,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-02-13,700,700,700,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-02-14,700,700,700,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-04-10,500,500,500,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-04-11,400,450,425,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-04-14,400,400,400,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-03,500,500,500,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-05,400,500,450,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-10,300,500,400,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-11,200,400,300,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-14,250,250,250,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-17,200,200,200,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-24,200,200,200,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-05-29,200,200,200,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-06-04,200,300,250,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-06-23,250,400,300,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-06-24,500,500,500,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-07-12,700,700,700,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-11-26,700,700,700,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-11-29,1000,1000,1000,73
Haryana,Palwal,Palwal,Water Melon,Water Melon,Medium,2007-12-04,1000,1000,1000,73
Haryana,Sonipat,Gohana,Water Melon,Other,Large,2007-05-01,500,700,600,73
Haryana,Sonipat,Gohana,Water Melon,Other,Large,2007-05-09,300,500,400,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-03-08,700,800,700,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-03-19,700,700,700,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-04-07,800,800,800,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-04-11,600,800,800,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-04-18,500,500,500,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-04-19,800,800,800,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-04-25,500,500,500,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-05-06,300,600,600,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-05-11,200,200,200,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-05-12,300,300,300,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-06-27,350,350,350,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-10-24,700,800,800,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-11-04,800,800,800,73
Haryana,Yamuna Nagar,Jagadhri,Water Melon,Other,Medium,2007-12-04,800,800,800,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-01-30,1200,1200,1200,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-02-17,1000,1100,1050,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-02-20,1000,1200,1100,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-02-22,1000,1400,1200,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-03-08,1000,1800,1400,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-03-21,900,1000,950,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-03-23,900,900,900,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-04-12,800,1300,1000,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-04-20,700,1200,950,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-04-23,400,600,500,73
Haryana,Yamuna Nagar,Yamuna Nagar,Water Melon,Other,Medium,2007-04-26,700,700,700,73
Himachal Pradesh,Bilaspur,Bilaspur,Water Melon,Other,Medium,2007-05-24,500,600,550,73
Himachal Pradesh,Bilaspur,Bilaspur,Water Melon,Other,Medium,2007-05-25,450,550,500,73
Himachal Pradesh,Bilaspur,Bilaspur,Water Melon,Other,Medium,2007-06-04,450,650,500,73
Himachal Pradesh,Bilaspur,Bilaspur,Water Melon,Other,Medium,2007-06-05,300,400,350,73
Himachal Pradesh,Hamirpur,Hamirpur,Water Melon,Other,Large,2007-05-03,750,1000,1000,73
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Water Melon,Other,Large,2007-05-09,800,800,800,73
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Water Melon,Other,Large,2007-05-17,550,1000,1000,73
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Water Melon,Other,Large,2007-05-29,300,400,400,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-04-25,1000,1200,1100,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-05-18,400,500,450,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-05-23,400,600,500,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-06-01,400,600,500,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-06-26,200,300,250,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-07-04,200,300,250,73
Himachal Pradesh,Kangra,Kangra,Water Melon,Other,Medium,2007-07-06,400,500,450,73
Himachal Pradesh,Kangra,Kangra(Jassour),Water Melon,Other,Medium,2007-05-17,300,400,350,73
Himachal Pradesh,Kangra,Kangra(Jassour),Water Melon,Other,Medium,2007-05-18,200,300,250,73
