State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-07-09,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-07-31,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-08-13,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-08-24,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-09-03,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-10-13,1400,1500,1450,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-10-22,1500,1600,1550,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-11-06,1500,1550,1525,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-11-07,1450,1550,1500,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-11-19,1500,1600,1550,287
Assam,Barpeta,Bohorihat,Wheat Atta,Other,FAQ,2009-12-17,1500,1600,1550,287
Assam,Barpeta,Howly,Wheat Atta,Other,FAQ,2009-11-30,1200,1400,1300,287
Assam,Barpeta,Howly,Wheat Atta,Other,FAQ,2009-12-07,1200,1400,1300,287
Assam,Barpeta,Howly,Wheat Atta,Other,FAQ,2009-12-09,1200,1400,1300,287
Assam,BONGAIGAON,Bongiagaon,Wheat Atta,Other,FAQ,2009-01-12,1300,1450,1300,287
Assam,BONGAIGAON,Bongiagaon,Wheat Atta,Other,FAQ,2009-02-05,1300,1350,1300,287
Assam,BONGAIGAON,Bongiagaon,Wheat Atta,Other,FAQ,2009-07-27,1400,1500,1450,287
Assam,BONGAIGAON,Bongiagaon,Wheat Atta,Other,FAQ,2009-08-25,1400,1500,1450,287
Assam,BONGAIGAON,Bongiagaon,Wheat Atta,Other,FAQ,2009-10-22,1450,1550,1500,287
Assam,Dhubri,Gauripur,Wheat Atta,Other,FAQ,2009-06-04,1400,1525,1462,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-04-17,1250,1270,1250,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-04-28,1230,1270,1230,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-05-06,1240,1270,1240,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-06-15,1200,1220,1200,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-06-20,1200,1220,1200,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-06-23,1200,1220,1200,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-07-14,1220,1240,1220,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-07-18,1250,1370,1250,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-08-10,1270,1360,1270,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-08-20,1320,1340,1320,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-08-24,1340,1370,1355,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-08-25,1340,1360,1350,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-09-02,1340,1360,1350,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-09-19,1300,1320,1310,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-10-21,1410,1420,1415,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-10-28,1440,1450,1445,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-10-29,1440,1450,1445,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-03,1450,1470,1460,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-04,1500,1520,1510,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-12,1530,1570,1550,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-20,1520,1545,1540,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-23,1515,1530,1522,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-11-26,1520,1540,1530,287
Assam,Dibrugarh,Dibrugarh,Wheat Atta,Other,FAQ,2009-12-04,1530,1540,1530,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-01-03,1300,1400,1350,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-01-19,1300,1400,1350,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-04-06,1225,1400,1350,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-04-29,1550,1700,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-05-13,1550,1700,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-05-14,1400,1650,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-05-18,1400,1650,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-05-21,1400,1600,1550,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-05-27,1150,1250,1200,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-06-04,850,1200,1050,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-06-05,850,1200,1050,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-06-09,950,1240,1180,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-06-18,1100,1240,1200,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-06-24,1100,1240,1200,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-07-17,1150,1300,1250,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-07-21,1220,1350,1300,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-07-24,1220,1400,1300,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-07-28,1220,1400,1300,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-08-11,1200,1500,1350,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-08-17,1220,1500,1350,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-08-20,1200,1550,1400,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-09-01,1250,1700,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-09-03,1500,1700,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-09-07,1220,1700,1600,287
Assam,Kamrup,P.O. Uparhali Guwahati,Wheat Atta,Other,FAQ,2009-09-10,1200,1750,1600,287
