State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-03-20,4100,4200,4100.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-04-17,5350,5500,5400.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-04-23,5400,5550,5450.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-07-03,4700,5500,5400.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-11-22,5400,5500,5450.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-12-05,5300,5400,5300.0,412
Assam,Nagaon,Dhing,White Peas,White Peas,FAQ,2019-12-07,5300,5400,5300.0,412
Chattisgarh,Dhamtari,Bhakhara,White Peas,Other,FAQ,2019-08-27,4300,4380,4350.0,412
Chattisgarh,Dhamtari,Kurud,White Peas,White Peas,FAQ,2019-04-12,3200,3200,3200.0,412
Chattisgarh,Dhamtari,Kurud,White Peas,White Peas,FAQ,2019-05-03,3460,3460,3460.0,412
Chattisgarh,Dhamtari,Kurud,White Peas,White Peas,FAQ,2019-05-08,3400,3400,3400.0,412
Chattisgarh,Dhamtari,Kurud,White Peas,White Peas,FAQ,2019-09-16,3501,3501,3501.0,412
Chattisgarh,Koria,Manendragarh,White Peas,Other,FAQ,2019-02-21,4825,7000,6650.0,412
Gujarat,Porbandar,Porbandar,White Peas,Other,FAQ,2019-05-01,0,4500,4500.0,412
Gujarat,Porbandar,Porbandar,White Peas,Other,FAQ,2019-05-29,0,5125,5125.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-01-02,3455,4380,3880.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-01-08,2905,4055,3605.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-01-21,3130,4755,4380.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-01-28,2505,4705,4105.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-01-30,3005,5305,4805.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-02-26,4105,6205,5555.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-02-27,4000,6155,5405.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-03-07,4705,5905,5455.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-03-14,4005,6105,5705.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-03-18,3500,6005,5755.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-04-25,5255,6755,6255.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-05-01,4255,6505,6005.0,412
Gujarat,Rajkot,Gondal,White Peas,White Peas,FAQ,2019-05-13,4630,5880,5630.0,412
