State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,White Pumpkin,FAQ,2007-12-12,250,350,300.0,158
Karnataka,Kolar,Malur,White Pumpkin,White Pumpkin,FAQ,2007-12-11,350,500,450.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-01-10,550,650,600.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-01-20,650,750,700.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-02-24,450,550,500.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-03-10,400,500,450.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-04-04,400,500,450.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-06-02,650,750,700.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-06-13,850,950,900.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-06-20,650,750,700.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-07-07,350,450,400.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-07-28,650,750,700.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-08-25,700,800,750.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-09-05,500,600,550.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-09-19,650,750,700.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-09-26,550,650,600.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-10-03,450,550,500.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-10-31,550,650,600.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-11-03,550,650,600.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-11-07,600,700,650.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-12-01,450,550,500.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-12-05,450,550,500.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-12-22,450,550,500.0,158
Kerala,Idukki,Thodupuzha,White Pumpkin,Other,FAQ,2007-12-26,450,550,500.0,158
Uttrakhand,Haridwar,Roorkee,White Pumpkin,Other,FAQ,2007-07-07,200,400,300.0,158
Uttrakhand,Haridwar,Roorkee,White Pumpkin,Other,FAQ,2007-07-08,200,400,275.0,158
Uttrakhand,Haridwar,Roorkee,White Pumpkin,Other,FAQ,2007-08-01,200,500,400.0,158
Haryana,Sirsa,kalanwali,White Pumpkin,Other,FAQ,2009-04-07,200,200,200.0,158
Haryana,Sirsa,kalanwali,White Pumpkin,Other,FAQ,2009-04-21,200,250,215.0,158
Haryana,Sirsa,kalanwali,White Pumpkin,Other,FAQ,2009-04-26,200,300,300.0,158
Haryana,Sirsa,kalanwali,White Pumpkin,Other,FAQ,2009-04-27,200,300,300.0,158
Haryana,Sirsa,kalanwali,White Pumpkin,Other,FAQ,2009-05-02,200,300,300.0,158
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,White Pumpkin,Large,2009-10-21,400,500,450.0,158
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,White Pumpkin,Large,2009-12-05,300,500,400.0,158
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,White Pumpkin,Medium,2009-12-10,300,500,400.0,158
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",White Pumpkin,White Pumpkin,Large,2009-12-30,400,600,500.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-01-20,800,1200,1000.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-02-06,600,700,650.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-02-08,600,700,650.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-02-14,500,600,550.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-08,600,700,650.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-18,600,700,650.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-19,600,700,650.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-20,500,600,550.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-25,500,600,550.0,158
Karnataka,Hassan,Hassan,White Pumpkin,White Pumpkin,FAQ,2009-03-31,400,500,450.0,158
