State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-01-04,4055.0,4360.0,4360.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-01-31,3850.0,4375.0,4375.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-02-07,3250.0,4420.0,4420.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-04-17,5350.0,5350.0,5350.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-04-18,2500.0,5755.0,5400.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-05-23,5330.0,5350.0,5350.0,137
Gujarat,Amreli,Amreli,Ajwan,Other,FAQ,2007-06-23,4000.0,4000.0,4000.0,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-05-10,2500.0,5005.0,4250.0,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-06-07,2500.0,4125.0,3850.0,137
Gujarat,Banaskanth,Tharad,Ajwan,Other,FAQ,2007-06-13,4000.0,4500.0,4300.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-03-20,4000.0,6750.0,5550.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-04,4500.0,6000.0,5200.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-05,4000.0,5750.0,5270.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-05-30,4500.0,5815.0,5158.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-06-26,3500.0,4825.0,4163.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-18,2650.0,5305.0,3978.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-19,2715.0,4725.0,3720.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-24,4000.0,6300.0,5150.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-07-31,1705.0,2500.0,2103.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-11-06,2500.0,4750.0,3650.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-11-29,3500.0,5000.0,4200.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-05,4000.0,5750.0,4875.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-10,4500.0,6265.0,5390.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-24,5000.0,7000.0,6100.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-26,5000.0,7000.0,6000.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2007-12-29,4500.0,6520.0,5525.0,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-01-06,5225.0,5225.0,5225.0,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-04-19,5045.0,5755.0,5500.0,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-05-16,3975.0,4350.0,4125.0,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-07-04,4205.0,4205.0,4205.0,137
Gujarat,Mehsana,Unjha,Ajwan,Other,FAQ,2007-10-10,3500.0,3500.0,3500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-01-17 00:00:00,11700.0,11700.0,11700.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-01-21 00:00:00,6000.0,14500.0,12450.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-01-27 00:00:00,10200.0,12750.0,10950.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-01 00:00:00,5500.0,12700.0,10750.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-15 00:00:00,6850.0,12055.0,7550.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-17 00:00:00,10275.0,12495.0,12495.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-21 00:00:00,10000.0,14000.0,11800.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-22 00:00:00,9815.0,10450.0,10200.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-02-25 00:00:00,7575.0,12675.0,11075.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-03-04 00:00:00,7850.0,12500.0,10500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-03-05 00:00:00,6000.0,9025.0,9025.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-03-07 00:00:00,9450.0,11500.0,11500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-04 00:00:00,7500.0,10050.0,9075.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-12 00:00:00,6650.0,12500.0,9650.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-13 00:00:00,6300.0,9550.0,7525.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-22 00:00:00,4000.0,6475.0,6000.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-23 00:00:00,7100.0,8650.0,7500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-25 00:00:00,4800.0,9250.0,7750.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-04-27 00:00:00,5000.0,9450.0,7500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-05-10 00:00:00,5980.0,8500.0,7750.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-05-18 00:00:00,7000.0,8750.0,7550.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-06-10 00:00:00,6525.0,9300.0,9300.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-06-15 00:00:00,6700.0,8700.0,7250.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-06-24 00:00:00,7000.0,9450.0,9200.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-06-28 00:00:00,8450.0,8750.0,8750.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-07-12 00:00:00,9500.0,9500.0,9500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-07-29 00:00:00,7500.0,11200.0,9825.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-08-12 00:00:00,8760.0,10050.0,9500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-09-08 00:00:00,8455.0,9400.0,9050.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-10-14 00:00:00,5350.0,7945.0,7945.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-11-03 00:00:00,4000.0,7750.0,7500.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-11-19 00:00:00,7500.0,10250.0,9750.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-12-02 00:00:00,7495.0,7495.0,7495.0,137
Gujarat,Amreli,Amreli,Ajwan,Ajwan,FAQ,2022-12-23 00:00:00,5200.0,10725.0,8500.0,137
Gujarat,Banaskanth,Dhanera,Ajwan,Other,FAQ,2022-05-17 00:00:00,7255.0,7255.0,7255.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-04-13 00:00:00,4500.0,13505.0,9002.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-04-18 00:00:00,5000.0,22255.0,13627.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-04-21 00:00:00,5005.0,12200.0,8602.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-04-27 00:00:00,9715.0,10625.0,10170.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-05-05 00:00:00,3755.0,10000.0,6877.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-05-13 00:00:00,5255.0,10750.0,8002.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-05-26 00:00:00,3025.0,10105.0,6565.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-06-06 00:00:00,3500.0,3500.0,3500.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-06-07 00:00:00,8755.0,8755.0,8755.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-06-28 00:00:00,7250.0,10000.0,8625.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-09-15 00:00:00,8000.0,8000.0,8000.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-09-23 00:00:00,7255.0,7255.0,7255.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-10-06 00:00:00,6255.0,6255.0,6255.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-10-10 00:00:00,7605.0,7605.0,7605.0,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-10-18 00:00:00,6555.0,7500.0,7027.5,137
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,2022-12-29 00:00:00,9875.0,9875.0,9875.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2022-02-03 00:00:00,9700.0,30125.0,19913.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2022-02-14 00:00:00,8750.0,24525.0,16638.0,137
Gujarat,Jamnagar,Jamnagar,Ajwan,Other,FAQ,2022-02-21 00:00:00,9250.0,23100.0,16175.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-05-12 00:00:00,5000.0,9750.0,7500.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-06-08 00:00:00,6000.0,8800.0,8200.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-06-23 00:00:00,5000.0,10000.0,8000.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-06-29 00:00:00,6000.0,10110.0,8250.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-07-04 00:00:00,6000.0,9150.0,7500.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-08-08 00:00:00,5000.0,10000.0,7750.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-08-22 00:00:00,6505.0,9455.0,8000.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-08-23 00:00:00,5350.0,9255.0,8000.0,137
Gujarat,Mehsana,Kadi,Ajwan,Ajwan,FAQ,2022-10-03 00:00:00,6000.0,7500.0,7000.0,137
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,2022-01-04 00:00:00,3000.0,13250.0,10725.0,137
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,2022-01-08 00:00:00,2775.0,12840.0,10500.0,137
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,2022-01-27 00:00:00,5360.0,16675.0,11800.0,137
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,2022-01-28 00:00:00,5250.0,15525.0,11500.0,137
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,2022-01-29 00:00:00,5245.0,18330.0,11600.0,137
