State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Amirgadh,Alasande Gram,Alasande Gram,FAQ,2022-04-10,430,607,550.0,281
Gujarat,Banaskanth,Amirgadh,Alasande Gram,Alasande Gram,FAQ,2022-11-04,500,521,510.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-04-30 00:00:00,12505,15250,14600.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-06-10 00:00:00,10000,12775,12500.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-06-19 00:00:00,10500,13500,11725.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-05-16 00:00:00,13850,16175,15125.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-05-18 00:00:00,15955,17370,16855.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-05-21 00:00:00,15005,18825,17605.0,281
Gujarat,Gir Somnath,Veraval,Alasande Gram,Alasande Gram,FAQ,2024-05-31 00:00:00,10455,15100,14000.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-04-05 00:00:00,1170,1660,1415.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-06-23 00:00:00,1320,1375,1347.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-07-26 00:00:00,1085,1480,1282.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-08-02 00:00:00,1595,1595,1595.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-08-13 00:00:00,1385,1470,1427.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-10-17 00:00:00,1150,1585,1367.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2003-11-14 00:00:00,1045,1400,1222.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2004-02-06 00:00:00,1325,1395,1360.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2004-06-02 00:00:00,1325,1350,1337.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2004-08-21 00:00:00,1380,1460,1420.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2004-08-25 00:00:00,1175,1500,1337.0,281
Gujarat,Jamnagar,Kalawad,Alasande Gram,Alasande Gram,FAQ,2004-08-31 00:00:00,1290,1435,1357.0,281
