State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-12,350,600,400.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-17,200,600,450.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-18,200,500,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-23,300,400,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-25,200,400,300.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-01-30,200,500,400.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-02-04,400,600,550.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-02-10,200,600,400.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-02-14,400,600,550.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-02-18,200,500,300.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-02-28,300,400,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-03-17,250,350,300.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-03-28,300,400,375.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-05-09,200,400,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-05-13,250,400,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-05-18,300,500,450.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-05-20,300,500,450.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-05-31,400,500,450.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-05,300,400,375.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-13,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-16,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-19,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-22,400,600,550.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-23,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-26,300,400,375.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-06-28,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-03,300,400,350.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-08,300,500,425.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-10,300,500,400.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-12,400,500,475.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-20,300,400,375.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-07-21,300,400,375.0,86
Gujarat,Ahmedabad,Ahmedabad,Amaranthus,Other,FAQ,2006-10-05,800,1000,850.0,86
