State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-04-30,645.0,740.0,700.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-05-08,675.0,695.0,690.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-05-12,650.0,680.0,670.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-04,575.0,600.0,590.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-06,590.0,620.0,610.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-13,580.0,630.0,610.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-14,600.0,625.0,612.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-15,580.0,620.0,600.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-07-02,605.0,630.0,630.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-07-12,625.0,650.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-07-21,635.0,660.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-07-30,640.0,650.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-08-04,625.0,645.0,640.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-08-13,625.0,645.0,630.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-08-17,625.0,650.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-08-21,625.0,650.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-01,625.0,650.0,650.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-03,600.0,620.0,620.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-07,600.0,625.0,625.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-08,625.0,635.0,630.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-20,600.0,625.0,620.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-22,600.0,620.0,620.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-24,600.0,620.0,610.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-09-28,620.0,640.0,630.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-10-11,625.0,645.0,640.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-10-17,650.0,680.0,670.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-10-18,660.0,685.0,682.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-10-27,690.0,715.0,700.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-11-02,700.0,740.0,720.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-11-29,700.0,730.0,715.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-12-17,725.0,765.0,750.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-12-24,700.0,730.0,715.0,28
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-12-29,700.0,725.0,725.0,28
Gujarat,Sabarkantha,Idar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-02-02,825.0,875.0,850.0,28
Gujarat,Sabarkantha,Idar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-05-23,575.0,605.0,590.0,28
Gujarat,Sabarkantha,Idar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-05-31,550.0,610.0,580.0,28
Gujarat,Sabarkantha,Idar,Bajra(Pearl Millet/Cumbu),Other,FAQ,2007-06-14,550.0,605.0,577.0,28
