State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-01-27,650.0,650.0,650.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-02-28,670.0,670.0,670.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-03-09,655.0,655.0,655.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-03-16,755.0,755.0,755.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-04-06,745.0,750.0,747.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-04-08,745.0,800.0,772.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-04-23,800.0,830.0,815.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-04-26,760.0,760.0,760.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-05-06,735.0,740.0,737.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-05-09,700.0,700.0,700.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-05-10,750.0,760.0,755.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-05-19,735.0,735.0,735.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-05-23,710.0,710.0,710.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-08-04,725.0,725.0,725.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-08-05,725.0,725.0,725.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-08-17,855.0,855.0,855.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-08-19,855.0,855.0,855.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-09-23,825.0,825.0,825.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-09-25,910.0,910.0,910.0,29
Gujarat,Ahmedabad,Sanad,Barley (Jau),Other,FAQ,2007-11-26,1250.0,1250.0,1250.0,29
