State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Dahod,Dahod,Beans,Other,FAQ,2006-01-05,975.0,1025.0,1000.0,94
Gujarat,Dahod,Dahod,Beans,Other,FAQ,2006-01-19,927.0,927.0,927.0,94
Gujarat,Dahod,Dahod,Beans,Other,FAQ,2006-07-06,550.0,650.0,600.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-01-18,940.0,950.0,945.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-01-20,900.0,900.0,900.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-01-25,925.0,950.0,937.5,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-01-31,700.0,800.0,750.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-02-07,775.0,800.0,787.5,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-02-08,550.0,600.0,575.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-03-20,600.0,700.0,650.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-04-26,650.0,700.0,675.0,94
Gujarat,Dahod,Jhalod,Beans,Other,FAQ,2006-12-22,1250.0,1260.0,1255.0,94
Gujarat,Jamnagar,Jamnagar,Beans,Other,FAQ,2006-11-15,3000.0,3060.0,3030.0,94
Gujarat,Jamnagar,Jamnagar,Beans,Other,FAQ,2006-11-17,2500.0,2630.0,2565.0,94
Gujarat,Jamnagar,Jamnagar,Beans,Other,FAQ,2006-12-14,2075.0,2250.0,2163.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-02,3150.0,4000.0,3500.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-04,3000.0,4200.0,3800.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-07,3000.0,4000.0,3575.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-09,2000.0,4030.0,3500.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-17,3000.0,4080.0,3850.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-20,3000.0,4230.0,3900.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-23,3000.0,4080.0,3750.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-01-28,2000.0,3090.0,2900.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-02-07,2000.0,2490.0,2125.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-02-15,1500.0,2775.0,2250.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-02-17,1750.0,2555.0,2400.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-03-11,2125.0,2400.0,2225.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-03-13,1950.0,2370.0,2225.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-03-17,2125.0,2525.0,2350.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-03-22,2000.0,2620.0,2400.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-04-03,2320.0,2625.0,2450.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-04-08,2250.0,2850.0,2600.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-04-10,2625.0,3040.0,2825.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-04-25,2250.0,2900.0,2700.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-05-16,1900.0,2500.0,2355.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-05-17,2000.0,2680.0,2400.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-05-22,2000.0,2200.0,2100.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-05-27,1750.0,2255.0,2000.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-06-03,1525.0,1595.0,1560.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-06-21,1050.0,1725.0,1385.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-06-29,1500.0,2030.0,1750.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-07-12,1000.0,1600.0,1225.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-05,1250.0,2425.0,2250.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-09,1750.0,2475.0,2125.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-10,1100.0,1750.0,1575.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-11,1750.0,2580.0,1900.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-12,1200.0,2400.0,1725.0,94
Gujarat,Junagarh,Junagadh,Beans,Beans (Whole),FAQ,2006-10-16,1875.0,2650.0,2350.0,94
Gujarat,Junagarh,Junagadh,Beans,Other,FAQ,2006-04-04,3250.0,3820.0,3500.0,94
Gujarat,Junagarh,Junagadh,Beans,Other,FAQ,2006-04-28,3540.0,3540.0,3540.0,94
Gujarat,Junagarh,Junagadh,Beans,Other,FAQ,2006-05-29,3125.0,3125.0,3125.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-01-07,2840.0,3560.0,3120.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-02-06,1810.0,2470.0,2195.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-02-21,2050.0,2390.0,2250.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-02-22,1975.0,2355.0,2125.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-03-03,1770.0,2360.0,2225.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-04-25,2205.0,2815.0,2400.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-04-28,2230.0,2820.0,2500.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-05-01,2180.0,2840.0,2625.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-05-02,2360.0,2800.0,2510.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-05-08,1980.0,2780.0,2125.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-05-19,1920.0,2500.0,2360.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-05-26,2270.0,2630.0,2500.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-06-12,2175.0,2735.0,2500.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-06-23,1250.0,1570.0,1450.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-06-30,1200.0,1760.0,1550.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-07-25,1190.0,2000.0,1550.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-08-03,1070.0,1550.0,1375.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-08-26,1340.0,1665.0,1500.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-08-29,1640.0,2210.0,2000.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-09-05,1750.0,2200.0,2000.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-09-20,1875.0,2400.0,2135.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-11-10,1240.0,2180.0,1710.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-11-11,1220.0,2250.0,1735.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-11-14,1550.0,2310.0,1930.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-11-24,1890.0,2400.0,2145.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-12-08,1250.0,1970.0,1610.0,94
Gujarat,Junagarh,Visavadar,Beans,Hybrid,FAQ,2006-12-20,1280.0,1850.0,1565.0,94
Gujarat,Kachchh,K.Mandvi,Beans,Other,FAQ,2006-03-21,3200.0,3300.0,3250.0,94
Gujarat,Panchmahals,Godhra,Beans,Other,FAQ,2006-02-28,725.0,750.0,730.0,94
