State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-01-04,700.0,900.0,800.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-01-12,500.0,1000.0,850.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-02-07,400.0,800.0,700.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-02-08,500.0,800.0,700.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-02-10,200.0,800.0,600.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-02-27,500.0,700.0,600.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-03-05,200.0,700.0,550.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-03-12,250.0,700.0,500.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-03-15,300.0,600.0,500.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-03-24,300.0,500.0,400.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-03-27,300.0,500.0,400.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-04-02,300.0,600.0,400.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-04-18,400.0,600.0,550.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-04-24,400.0,700.0,600.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-05-04,500.0,700.0,550.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-05-11,400.0,700.0,600.0,157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,2007-05-15,400.0,700.0,650.0,157
Gujarat,Botad,Botad,Beetroot,Other,FAQ,2007-01-05,800.0,1000.0,900.0,157
Gujarat,Botad,Botad,Beetroot,Other,FAQ,2007-01-24,850.0,1200.0,1025.0,157
Gujarat,Botad,Botad,Beetroot,Other,FAQ,2007-01-25,875.0,1250.0,1060.0,157
Gujarat,Botad,Botad,Beetroot,Other,FAQ,2007-02-02,500.0,1500.0,1000.0,157
Gujarat,Botad,Botad,Beetroot,Other,FAQ,2007-02-04,750.0,1250.0,1000.0,157
Gujarat,Kheda,Nadiad,Beetroot,Beetroot,FAQ,2007-01-20,350.0,450.0,400.0,157
Gujarat,Kheda,Nadiad,Beetroot,Beetroot,FAQ,2007-02-14,500.0,525.0,512.0,157
Gujarat,Kheda,Nadiad,Beetroot,Beetroot,FAQ,2007-05-15,700.0,800.0,750.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-01-02,500.0,750.0,625.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-01-08,350.0,700.0,475.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-01-16,400.0,750.0,500.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-01-25,500.0,750.0,625.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-01-30,400.0,800.0,600.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-02-03,350.0,500.0,450.0,157
Gujarat,Vadodara(Baroda),Vadodara,Beetroot,Other,FAQ,2007-02-15,400.0,600.0,475.0,157
