State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-01,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-02,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-03,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-04,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-05,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-06,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-09,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-13,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-18,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-24,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-28,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-01-30,300.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-02-06,200.0,550.0,350.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-02-09,200.0,550.0,350.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-02-18,200.0,550.0,350.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-02-28,250.0,450.0,300.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-03-02,250.0,450.0,300.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-10-27,400.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-11-01,400.0,700.0,500.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-11-15,250.0,600.0,400.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-11-19,250.0,600.0,400.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-11-24,250.0,600.0,400.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-12-19,200.0,500.0,300.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-12-24,200.0,500.0,300.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-12-27,200.0,450.0,300.0,357
Gujarat,Vadodara(Baroda),Vadodara,Ber(Zizyphus/Borehannu),Other,Medium,2007-12-28,200.0,450.0,300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-01-06 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-01-08 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-01-31 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-02-22 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-11-18 00:00:00,800.0,1200.0,1100.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-12-01 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-12-03 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-12-16 00:00:00,1300.0,1400.0,1350.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-12-26 00:00:00,1000.0,1200.0,1100.0,357
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Ber(Zizyphus/Borehannu),Other,Small,2011-12-30 00:00:00,1500.0,1600.0,1600.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-01-04 00:00:00,1000.0,1500.0,1350.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-01-06 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-01-12 00:00:00,1000.0,2000.0,1700.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-02-02 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-02-21 00:00:00,1000.0,1500.0,1300.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-10-19 00:00:00,800.0,1000.0,950.0,357
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Ber(Zizyphus/Borehannu),Other,Small,2011-11-09 00:00:00,1000.0,1500.0,1300.0,357
