State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-14,1905,2325,2165.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-17,1880,2295,2165.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-23,1850,2270,2180.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-09-01,1635,2175,2095.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-09-18,1605,2275,2135.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-08-29,1635,2245,2145.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-08-31,1655,2115,2020.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-09-18,1600,2035,2000.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-01,1835,2125,2055.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-03,1750,2105,2040.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-11,2035,2225,2125.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-17,1765,2370,2175.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-18,1850,2455,2175.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-19,1905,2415,2175.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-10-30,1800,2205,2125.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-11-16,1720,2315,2140.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-11-17,1960,2325,2125.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-11-23,1875,2120,2050.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-11-26,1870,2255,2050.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-12-07,1890,2240,1965.0,113
Gujarat,Amreli,Amreli,Big Gram,Other,FAQ,2007-12-22,1325,2220,1950.0,113
Gujarat,Amreli,Babra,Big Gram,Other,FAQ,2007-11-02,1820,2320,2150.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-06-08,1500,2305,1903.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-08-23,2210,2210,2210.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-08-25,2575,2630,2603.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-11-23,1925,2040,1982.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-11-27,1665,2105,1885.0,113
Gujarat,Amreli,Rajula,Big Gram,Other,FAQ,2007-12-04,1985,2100,2042.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-04-24,2125,2250,2187.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-10-12,1900,2250,2100.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-10-19,1750,2350,2100.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-10-22,2250,2335,2300.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-10-26,2000,2150,2100.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-10-30,2110,2350,2250.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-11-26,1925,2725,2400.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-12-08,1800,2105,1975.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-12-18,1800,1950,1875.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-12-20,1810,2180,2000.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-12-22,1850,2000,1950.0,113
Gujarat,Amreli,Savarkundla,Big Gram,Other,FAQ,2007-12-31,1700,1850,1775.0,113
Gujarat,Anand,Khambhat,Big Gram,Other,FAQ,2007-02-23,1777,1800,1790.0,113
