State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-01-17,1000.0,1400.0,1200.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-01-23,600.0,900.0,800.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-01,900.0,1000.0,975.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-03,800.0,1100.0,900.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-07,500.0,1000.0,850.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-13,800.0,1100.0,1000.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-14,600.0,1200.0,1000.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-18,600.0,1000.0,900.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-23,600.0,1100.0,700.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-02-25,700.0,1000.0,900.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-03-01,700.0,1000.0,950.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-03-04,600.0,1000.0,900.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-04-27,300.0,1000.0,600.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-04,400.0,600.0,550.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-06,550.0,650.0,625.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-17,500.0,1100.0,950.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-20,300.0,1000.0,800.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-23,400.0,800.0,700.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-30,450.0,700.0,600.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-05-31,500.0,800.0,700.0,81
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,Other,FAQ,2006-06-07,500.0,1000.0,700.0,81
