State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-05,1000.0,2800.0,1650.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-12,675.0,2495.0,1500.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-17,850.0,2225.0,1250.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-25,1175.0,2615.0,1620.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-11,750.0,1350.0,1350.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-13,750.0,2400.0,2020.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-15,630.0,1505.0,1505.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-13,1665.0,1665.0,1665.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-04-26,1255.0,1550.0,1550.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-06-06,1780.0,3000.0,2500.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-17,1800.0,2500.0,2500.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-18,1500.0,2175.0,1625.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-28,1305.0,2930.0,2000.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-11,1080.0,3370.0,2450.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-18,1350.0,3330.0,2400.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-20,1340.0,3725.0,2625.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-26,1525.0,3520.0,2550.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-08,1200.0,2855.0,2250.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-14,1650.0,2875.0,2400.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-30,1195.0,2930.0,2625.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-02,1250.0,2350.0,1750.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-05,1370.0,2275.0,1800.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-11,1205.0,2450.0,1625.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-19,1250.0,3150.0,2200.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-23,1500.0,2755.0,2205.0,8
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-26,1050.0,2630.0,1825.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-04,1400.0,2160.0,1780.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-05,1575.0,2675.0,2125.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-17,1450.0,2150.0,1800.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-28,1605.0,2175.0,1890.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-01,1560.0,1775.0,1667.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-20,755.0,755.0,755.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-08,1165.0,1500.0,1332.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-20,2350.0,2350.0,2350.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-04-21,1030.0,1030.0,1030.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-04-24,1755.0,1900.0,1827.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-06-13,1905.0,2005.0,1955.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-01,2375.0,2375.0,2375.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-28,1250.0,1935.0,1592.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-08-12,750.0,750.0,750.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-08-31,2495.0,2630.0,2562.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-10-04,2850.0,3355.0,3103.0,8
Gujarat,Amreli,Rajula,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-10-09,2500.0,3450.0,2975.0,8
Gujarat,Banaskanth,Thara,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-07,2150.0,2405.0,2300.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-03,2000.0,2540.0,2270.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-04,2110.0,2450.0,2280.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-10,2400.0,2625.0,2510.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-24,1725.0,2300.0,2010.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-30,1970.0,2045.0,2005.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-04,1800.0,1800.0,1800.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-23,1600.0,2550.0,2075.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-10,2600.0,2670.0,2635.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-18,2200.0,2200.0,2200.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-03-28,2275.0,2275.0,2275.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-05-08,2405.0,2405.0,2405.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-06-08,1850.0,1850.0,1850.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-06-17,2200.0,3270.0,2735.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-07-10,1700.0,2700.0,2200.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-08-04,2565.0,2565.0,2565.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-18,2000.0,2000.0,2000.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-19,1500.0,2900.0,2200.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-20,1890.0,3300.0,2595.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-09-22,1890.0,3125.0,2505.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-03,2570.0,3095.0,2830.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-04,2500.0,3335.0,2915.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-07,2420.0,3290.0,2855.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-09,2400.0,3425.0,2910.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-11-20,1755.0,3105.0,2430.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-05,3045.0,3045.0,3045.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-15,3100.0,3100.0,3100.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-20,1690.0,3025.0,2360.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-27,2900.0,2900.0,2900.0,8
Gujarat,Bhavnagar,Bhavnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-29,2970.0,2970.0,2970.0,8
Gujarat,Bhavnagar,Mahuva(Station Road),Black Gram (Urd Beans)(Whole),Other,FAQ,2006-01-23,1645.0,2010.0,2000.0,8
Gujarat,Bhavnagar,Mahuva(Station Road),Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-18,1000.0,1000.0,1000.0,8
Gujarat,Bhavnagar,Mahuva(Station Road),Black Gram (Urd Beans)(Whole),Other,FAQ,2006-02-20,1875.0,2385.0,2350.0,8
Gujarat,Bhavnagar,Mahuva(Station Road),Black Gram (Urd Beans)(Whole),Other,FAQ,2006-05-08,3070.0,3600.0,3500.0,8
Gujarat,Bhavnagar,Mahuva(Station Road),Black Gram (Urd Beans)(Whole),Other,FAQ,2006-12-09,3635.0,3635.0,3635.0,8
