State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-01-08,12000,21000,16500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-02-09,16000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-02-15,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-02-17,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-02-22,20000,36000,28000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-03-23,15000,22000,18500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-06-15,17000,22000,19500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-06-20,16000,25000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-06-22,16000,25000,20500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-07-19,18000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-07-30,18000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-07-31,18000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-08-02,18000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-08-04,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-08-07,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-08-15,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-08-27,16000,22000,19000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-09-11,11500,22000,17500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-09-13,11500,22000,17500.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-09-15,11500,22000,17000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-10-08,17000,25000,21000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-10-17,17000,25000,21000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-10-25,15000,25000,21000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-10-27,15000,25000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-11-01,15000,25000,18000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-11-23,16000,22000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-12-04,16000,25000,20000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2007-12-17,20000,24000,22000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2011-01-06 00:00:00,15000,40000,39000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2011-01-22 00:00:00,18000,60000,60000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2011-03-03 00:00:00,20000,45000,43000.0,36
Gujarat,Vadodara(Baroda),Vadodara,Cashewnuts,Other,FAQ,2011-03-21 00:00:00,22500,44000,44000.0,36
