State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Junagarh,Junagadh,Castor Oil,Other,FAQ,2004-11-19,1625,1750,1700.0,270
Gujarat,Kheda,Mehmadabad,Castor Oil,Other,FAQ,2010-02-23 00:00:00,2500,2600,2560.0,270
Gujarat,Kheda,Mehmadabad,Castor Oil,Other,FAQ,2010-02-25 00:00:00,2500,2600,2560.0,270
Gujarat,Ahmedabad,Viramgam,Castor Oil,Other,FAQ,2014-09-06 00:00:00,760,775,767.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-02-25 00:00:00,1500,1550,1530.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-03 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-08 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-04 00:00:00,1500,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-11 00:00:00,1450,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-15 00:00:00,1550,1650,1650.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-07 00:00:00,1450,1575,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-15 00:00:00,1450,1650,1535.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-19 00:00:00,1450,1600,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-20 00:00:00,1500,1650,1600.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-23 00:00:00,1550,1700,1600.0,270
Gujarat,Bhavnagar,Palitana,Castor Oil,Other,FAQ,2012-11-20 00:00:00,2250,2750,2500.0,270
Gujarat,Bharuch,Jhagadiya,Castor Oil,Other,FAQ,2010-08-12 00:00:00,2575,2750,2650.0,270
Gujarat,Anand,Borsad,Castor Oil,Castor Oil,FAQ,2014-05-26 00:00:00,3625,3650,3650.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-07 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-17 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-28 00:00:00,1500,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-08 00:00:00,1450,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-10 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-28 00:00:00,1500,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-03 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-08 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-09 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-10 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-13 00:00:00,1500,1550,1530.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-02-19 00:00:00,1450,1550,1530.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-10 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-11 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-24 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-16 00:00:00,1500,1700,1650.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-29 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-01 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-05 00:00:00,1500,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-06 00:00:00,1450,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-12 00:00:00,1500,1550,1525.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-22 00:00:00,1500,1650,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-26 00:00:00,1450,1650,1600.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-29 00:00:00,1550,1750,1650.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-06-03 00:00:00,1600,1700,1675.0,270
Gujarat,Panchmahals,Gogamba,Castor Oil,Other,FAQ,2007-02-27 00:00:00,1700,1750,1735.0,270
Gujarat,Kheda,Mehmadabad,Castor Oil,Other,FAQ,2010-02-24 00:00:00,2500,2600,2560.0,270
Gujarat,Kheda,Mehmadabad,Castor Oil,Other,FAQ,2010-03-02 00:00:00,2500,2600,2560.0,270
Gujarat,Kheda,Mehmadabad,Castor Oil,Other,FAQ,2010-03-03 00:00:00,2500,2600,2560.0,270
Gujarat,Junagarh,Junagadh,Castor Oil,Other,FAQ,2004-11-18 00:00:00,1625,1750,1725.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-05 00:00:00,1500,1550,1550.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-12 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-19 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-03-26 00:00:00,1500,1550,1530.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-04-12 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-02 00:00:00,1450,1550,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-04 00:00:00,1450,1550,1535.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-14 00:00:00,1450,1650,1500.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-21 00:00:00,1500,1600,1580.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-05-24 00:00:00,1600,1650,1600.0,270
Gujarat,Kheda,Matar,Castor Oil,Other,FAQ,2008-06-02 00:00:00,1550,1750,1700.0,270
Gujarat,Panchmahals,Gogamba,Castor Oil,Other,FAQ,2006-08-25 00:00:00,1450,1500,1475.0,270
