State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Gir Somnath,Una,Cherry,Other,Medium,2007-02-26,1000,1500,1250.0,328
Gujarat,Gir Somnath,Una,Cherry,Other,Medium,2007-03-07,1200,1300,1250.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2013-06-03 00:00:00,10000,11000,10500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2013-06-07 00:00:00,10000,11000,10500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2013-06-12 00:00:00,9000,11000,10000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2013-07-22 00:00:00,10000,15000,13000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2013-06-15 00:00:00,8000,12000,10000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2013-06-29 00:00:00,6000,12000,10000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2013-07-09 00:00:00,10000,13000,12000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2013-07-22 00:00:00,10000,15000,13000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-06-05 00:00:00,8000,12000,10500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-06-15 00:00:00,13000,15000,14500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-06-16 00:00:00,13000,15000,14500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-06-25 00:00:00,8000,12000,11000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-07-01 00:00:00,8000,12000,10500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2009-07-03 00:00:00,12000,13000,12550.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Large,2009-07-24 00:00:00,2000,4000,3500.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2009-06-04 00:00:00,8000,12000,10500.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2009-06-06 00:00:00,8000,12000,9050.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2009-06-16 00:00:00,13000,15000,14500.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2009-06-22 00:00:00,11000,12000,11550.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2009-06-30 00:00:00,9000,12000,10550.0,328
Gujarat,Bharuch,Bharuch,Cherry,Other,Medium,2009-03-17 00:00:00,800,1200,1000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2014-05-28 00:00:00,10000,12000,11000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2014-06-16 00:00:00,8000,10000,9000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2014-07-02 00:00:00,20000,22000,21000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2014-05-28 00:00:00,10000,12000,11000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2014-06-11 00:00:00,10000,12000,11000.0,328
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Cherry,Other,Small,2014-06-18 00:00:00,18000,22000,21000.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2011-05-28 00:00:00,10000,12000,11500.0,328
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Cherry,Other,Small,2011-05-31 00:00:00,8000,10000,9500.0,328
