State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Chili Red,Bold,FAQ,2007-03-14,5005.0,5210.0,5210.0,26
Gujarat,Amreli,Amreli,Chili Red,Bold,FAQ,2007-04-07,7255.0,7710.0,7600.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-03-20,3905.0,6760.0,6325.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-03-24,3855.0,6800.0,6220.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-04-11,2825.0,7605.0,7310.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-04-12,4305.0,7625.0,5860.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-04-23,5525.0,7500.0,7005.0,26
Gujarat,Amreli,Amreli,Chili Red,Red,FAQ,2007-04-24,6300.0,7255.0,6855.0,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2007-09-14,0.0,1600.0,1600.0,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2007-09-28,1125.0,1350.0,1237.0,26
Gujarat,Banaskanth,Vadgam,Chili Red,Other,FAQ,2007-11-03,1330.0,1670.0,1500.0,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2007-05-10,3750.0,5550.0,5200.0,26
Gujarat,Jamnagar,Jamnagar,Chili Red,Other,FAQ,2007-05-16,3500.0,5700.0,5200.0,26
Gujarat,Rajkot,Gondal,Chili Red,Bold,FAQ,2007-02-01,1530.0,6880.0,5455.0,26
Gujarat,Rajkot,Gondal,Chili Red,Bold,FAQ,2007-02-09,1430.0,6250.0,5580.0,26
Gujarat,Rajkot,Gondal,Chili Red,Other,FAQ,2007-02-03,1430.0,7035.0,5755.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-01-23,1150.0,1150.0,1150.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-01-24,1149.0,1400.0,1200.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-01,1261.0,1326.0,1300.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-09,1125.0,1396.0,1286.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-17,1131.0,1131.0,1131.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-24,1161.0,1465.0,1175.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-27,1122.0,1300.0,1170.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-02-28,1100.0,1100.0,1100.0,26
Gujarat,Surat,Nizar,Chili Red,Other,FAQ,2007-03-01,1150.0,1275.0,1180.0,26
