State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-02,400.0,900.0,700.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-05,800.0,1000.0,900.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-12,500.0,700.0,600.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-17,550.0,800.0,700.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-20,400.0,600.0,500.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-01-21,250.0,600.0,450.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-02-11,250.0,900.0,600.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-02-15,200.0,800.0,600.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-02-16,300.0,800.0,600.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-02-20,300.0,900.0,600.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-02-28,400.0,800.0,650.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-03-18,300.0,1200.0,1000.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-03-28,800.0,1400.0,1200.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-04-28,500.0,1100.0,900.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-05-01,900.0,1700.0,1500.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-05-10,500.0,1500.0,1200.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-05-15,750.0,1300.0,1150.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-05-16,700.0,1400.0,1200.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-05-23,500.0,1500.0,1000.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-06-12,1500.0,2500.0,2300.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-06-23,1000.0,2200.0,1800.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-06-30,700.0,2000.0,1700.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-07-07,600.0,2250.0,1500.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-07-21,1000.0,2200.0,1800.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-09-13,2000.0,3100.0,2250.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-10-03,2000.0,2500.0,2200.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-10-05,1000.0,2100.0,1800.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-10-12,2250.0,3000.0,2800.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-10-27,2000.0,2800.0,2550.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-11-14,1000.0,1400.0,1300.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-11-20,400.0,1500.0,1200.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-11-24,500.0,1100.0,900.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-11-25,800.0,1000.0,900.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-11-28,900.0,1100.0,1050.0,88
Gujarat,Ahmedabad,Ahmedabad,Chilly Capsicum,Other,FAQ,2006-12-18,600.0,1200.0,1000.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-02-20,400.0,600.0,500.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-02-21,600.0,800.0,700.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-02-23,700.0,800.0,750.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-02-26,500.0,800.0,700.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-03-07,700.0,750.0,725.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-05-01,250.0,650.0,450.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-05-25,500.0,700.0,600.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-05-30,500.0,700.0,600.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-06-06,500.0,650.0,600.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-06-19,700.0,1000.0,900.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-07-22,1000.0,1100.0,1050.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-07-26,400.0,700.0,600.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-07-29,200.0,450.0,350.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-07-31,600.0,900.0,800.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-08-16,500.0,1000.0,800.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-08-19,450.0,850.0,700.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-08-21,550.0,1050.0,850.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-08-28,450.0,950.0,800.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-09-04,450.0,900.0,800.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-09-05,500.0,800.0,700.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-09-08,600.0,950.0,700.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-09-09,400.0,900.0,750.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-09-15,600.0,900.0,800.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-10-04,500.0,1100.0,875.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-12-21,350.0,650.0,550.0,88
Gujarat,Ahmedabad,Dholka,Chilly Capsicum,Other,FAQ,2006-12-22,300.0,600.0,500.0,88
Gujarat,Bharuch,Bharuch,Chilly Capsicum,Other,FAQ,2006-07-05,1000.0,1250.0,1125.0,88
Gujarat,Bharuch,Bharuch,Chilly Capsicum,Other,FAQ,2006-07-07,800.0,1400.0,1100.0,88
Gujarat,Bharuch,Bharuch,Chilly Capsicum,Other,FAQ,2006-12-22,600.0,800.0,700.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-01-10,500.0,600.0,550.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-01-17,500.0,600.0,550.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-01-27,400.0,500.0,450.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-01-28,400.0,500.0,450.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-02-10,750.0,800.0,775.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-02-11,400.0,600.0,500.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-02-16,450.0,550.0,500.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-02-21,425.0,500.0,465.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-03-01,450.0,500.0,475.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-03-11,400.0,500.0,450.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-03-17,400.0,500.0,450.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-03-27,600.0,700.0,650.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-04-05,700.0,900.0,800.0,88
Gujarat,Kheda,Nadiad,Chilly Capsicum,Other,FAQ,2006-11-22,1000.0,1250.0,1125.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-01-04,750.0,800.0,775.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-01-09,500.0,600.0,550.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-01-16,700.0,750.0,725.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-01-23,400.0,500.0,450.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-02-01,500.0,700.0,600.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-02-21,500.0,700.0,600.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-02-22,500.0,750.0,600.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-02-24,500.0,600.0,550.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-02-28,700.0,800.0,750.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-03-11,400.0,700.0,500.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-03-24,300.0,600.0,450.0,88
Gujarat,Vadodara(Baroda),Padra,Chilly Capsicum,Other,FAQ,2006-04-12,300.0,500.0,400.0,88
