State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2013-09-10,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2013-09-17,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2013-11-09,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2013-11-12,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2011-03-07 00:00:00,2500,3500,3000.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2012-09-07 00:00:00,1400,1800,1600.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2012-09-12 00:00:00,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2012-10-15 00:00:00,3000,4000,3500.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-01-28 00:00:00,500,750,625.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-02-09 00:00:00,500,750,625.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-02-26 00:00:00,500,700,600.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-03-17 00:00:00,800,1000,900.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-04-03 00:00:00,600,800,700.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-07-28 00:00:00,1200,1500,1350.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-08-01 00:00:00,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-09-30 00:00:00,1200,1500,1350.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2014-11-20 00:00:00,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2014-11-29 00:00:00,1500,2500,2000.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2010-04-14 00:00:00,2000,2500,2250.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2010-10-12 00:00:00,2000,3000,2500.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-01-21 00:00:00,500,750,625.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-01-23 00:00:00,500,600,550.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-01-29 00:00:00,500,700,600.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-07-17 00:00:00,1200,1500,1350.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2009-10-30 00:00:00,1200,1500,1350.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2014-07-25 00:00:00,1500,2000,1750.0,167
Gujarat,Bharuch,Bharuch,Chow Chow,Other,FAQ,2014-11-01 00:00:00,1500,2000,1750.0,167
