State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Gir Somnath,Una,Colacasia,Other,FAQ,2007-02-26,1000.0,1100.0,1050.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-04-26,900.0,1000.0,950.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-05-16,2200.0,2500.0,2350.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-06-09,900.0,1000.0,950.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-06-28,1400.0,1500.0,1450.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-07-11,1250.0,1500.0,1400.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-07-25,1500.0,2000.0,1750.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-07-31,1200.0,1300.0,1250.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-01,1000.0,1100.0,1050.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-04,1000.0,1250.0,1200.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-07,1000.0,1400.0,1200.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-08,1400.0,1500.0,1450.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-11,1000.0,1250.0,1100.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-08-17,1250.0,1500.0,1400.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-09-12,400.0,500.0,450.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-09-22,1200.0,1300.0,1250.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-09-28,1300.0,1400.0,1350.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-10-12,1000.0,1250.0,1150.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-10-16,1250.0,1400.0,1350.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-10-24,750.0,1000.0,900.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-11-01,500.0,700.0,600.0,318
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,2007-12-04,900.0,1150.0,1050.0,318
Gujarat,Vadodara(Baroda),Vadodara,Colacasia,Other,FAQ,2007-05-29,600.0,900.0,725.0,318
Gujarat,Vadodara(Baroda),Vadodara,Colacasia,Other,FAQ,2007-06-26,600.0,1000.0,750.0,318
Gujarat,Vadodara(Baroda),Vadodara,Colacasia,Other,FAQ,2007-07-14,600.0,1000.0,700.0,318
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Colacasia,Other,FAQ,2007-07-27,500.0,600.0,550.0,318
