State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-02,2000.0,2420.0,2300.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-06,2000.0,2335.0,2275.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-07,2000.0,2325.0,2275.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-10,2175.0,2390.0,2300.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-16,2000.0,2335.0,2225.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-17,2000.0,2335.0,2225.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-01-19,2000.0,2335.0,2200.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-02-06,2000.0,2310.0,2150.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-02-08,1900.0,2255.0,2075.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-02-21,1625.0,2320.0,2100.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-02-25,1500.0,2285.0,2050.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-03-04,1500.0,2300.0,2000.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-03-20,1500.0,2285.0,1775.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-03-25,1500.0,2300.0,2175.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-04-20,1500.0,2300.0,1925.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-05-01,1650.0,1755.0,1725.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-05-02,1500.0,2095.0,1800.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-05-04,1555.0,2055.0,1825.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-05-05,1700.0,2105.0,2100.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Cotton Seed,FAQ,2006-05-08,1850.0,2075.0,1925.0,99
Gujarat,Kheda,Kapadvanj,Cotton Seed,Other,FAQ,2006-04-14,800.0,850.0,825.0,99
Gujarat,Kheda,Kapadvanj,Cotton Seed,Other,FAQ,2006-10-28,900.0,910.0,905.0,99
Gujarat,Kheda,Kapadvanj,Cotton Seed,Other,FAQ,2006-11-07,900.0,950.0,925.0,99
Gujarat,Kheda,Kapadvanj,Cotton Seed,Other,FAQ,2006-11-21,975.0,990.0,982.0,99
Gujarat,Kheda,Kapadvanj,Cotton Seed,Other,FAQ,2006-11-23,950.0,975.0,962.0,99
Gujarat,Banaskanth,Deesa(Bhildi),Cotton Seed,Other,FAQ,2012-02-21 00:00:00,4210.0,4275.0,4225.0,99
Gujarat,Devbhumi Dwarka,Jam Khambalia,Cotton Seed,Other,FAQ,2012-05-10 00:00:00,2725.0,2900.0,2825.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-01-20 00:00:00,3900.0,4515.0,4460.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-02-02 00:00:00,4000.0,4425.0,4385.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-02-08 00:00:00,4050.0,4435.0,4385.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-02-10 00:00:00,4000.0,4470.0,4400.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-02-17 00:00:00,3750.0,4425.0,4375.0,99
Gujarat,Gandhinagar,Mansa,Cotton Seed,Other,FAQ,2012-03-01 00:00:00,4000.0,4295.0,4260.0,99
