State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2011-10-18,1000,1500,1250.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2011-10-22,1500,2000,1750.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2012-11-06 00:00:00,1000,1500,1250.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2013-10-16 00:00:00,1000,1500,1250.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2013-10-17 00:00:00,1000,1500,1250.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2013-10-22 00:00:00,1000,1300,1150.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2009-05-08 00:00:00,600,900,750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-01-08 00:00:00,3000,3000,3000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-01-10 00:00:00,2500,3000,2750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-01-11 00:00:00,4000,4000,4000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-01-25 00:00:00,3500,4000,3750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-02-06 00:00:00,3000,3000,3000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-02-10 00:00:00,2300,2800,2500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-01 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-14 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-15 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-19 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-20 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-24 00:00:00,1500,1500,1500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-03-29 00:00:00,1100,1500,1350.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-04-07 00:00:00,2500,3000,2750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-04-21 00:00:00,2500,2500,2500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-04-22 00:00:00,2500,3500,3000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-04-23 00:00:00,2500,2500,2500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-04-27 00:00:00,2000,3000,2500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-01 00:00:00,3000,3500,3250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-03 00:00:00,2500,3000,2750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-16 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-18 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-22 00:00:00,2000,2500,2250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-24 00:00:00,500,1000,750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-05-30 00:00:00,500,1000,750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Custard Apple(Sharifa),Medium,2009-06-07 00:00:00,500,800,650.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-07-15 00:00:00,1000,2500,1750.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-07-18 00:00:00,1200,1500,1300.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-07-24 00:00:00,3000,3000,3000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-07-31 00:00:00,3000,3000,3000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-08-12 00:00:00,4000,4000,4000.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-08-20 00:00:00,4000,5000,4500.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-08-21 00:00:00,3800,3800,3800.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-08-25 00:00:00,4000,4500,4250.0,352
Gujarat,Rajkot,Gondal,Custard Apple (Sharifa),Other,Medium,2009-10-03 00:00:00,4000,5000,4500.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2010-11-10 00:00:00,1800,2000,1900.0,352
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Custard Apple (Sharifa),Other,Medium,2010-11-18 00:00:00,700,1000,850.0,352
