State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-05-08,4500.0,6500.0,5625.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-06-06,4000.0,5500.0,5250.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-06-19,2500.0,7500.0,5250.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-07-31,4250.0,7000.0,5750.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-08-23,4250.0,7000.0,6250.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-12-17,4500.0,7100.0,5500.0,132
Gujarat,Dahod,Dahod,Dry Chillies,Other,FAQ,2007-12-29,3700.0,6750.0,5500.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-03-09,2880.0,8505.0,6730.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-03-12,1500.0,8480.0,7680.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-07,1500.0,7880.0,7255.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-10,1500.0,7980.0,7255.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-11,2000.0,8730.0,8130.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-13,2500.0,8905.0,8180.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-16,2500.0,8980.0,7780.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-18,2500.0,9480.0,7505.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-04-20,2500.0,7980.0,6855.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Bold 1,FAQ,2007-05-04,2280.0,7330.0,2355.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-02-23,1780.0,7105.0,5680.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-02-26,1500.0,6305.0,5505.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-04-27,1250.0,6705.0,5000.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-05-08,1305.0,6755.0,5680.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-05-17,1405.0,6905.0,4705.0,132
Gujarat,Rajkot,Gondal,Dry Chillies,Single Patti,FAQ,2007-05-23,1405.0,7230.0,5905.0,132
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Dry Chillies,Other,FAQ,2007-03-13,4130.0,7540.0,5775.0,132
