State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Dhari,Field Pea,Other,FAQ,2007-03-12,1750.0,2000.0,1900.0,64
Gujarat,Amreli,Dhari,Field Pea,Other,FAQ,2007-03-17,1750.0,2000.0,1850.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-03 00:00:00,1500.0,1850.0,1700.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-11 00:00:00,1300.0,1750.0,1500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-16 00:00:00,1500.0,1800.0,1700.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-17 00:00:00,1400.0,1800.0,1500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-22 00:00:00,1300.0,1700.0,1500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-26 00:00:00,1300.0,1500.0,1400.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-01-31 00:00:00,800.0,1350.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-03 00:00:00,1300.0,1600.0,1400.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-07 00:00:00,1000.0,1350.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-08 00:00:00,1000.0,1300.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-11 00:00:00,1000.0,1250.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-12 00:00:00,1000.0,1350.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-02-27 00:00:00,1200.0,1300.0,1250.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-03-06 00:00:00,1200.0,1350.0,1300.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-03-07 00:00:00,1000.0,1350.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-03-09 00:00:00,1000.0,1350.0,1200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-03-11 00:00:00,1200.0,1350.0,1300.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-03-14 00:00:00,1200.0,1400.0,1300.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-05-23 00:00:00,3500.0,4500.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-06-17 00:00:00,3500.0,4500.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-06-21 00:00:00,3500.0,4500.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-06-28 00:00:00,3000.0,4000.0,3200.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-06-29 00:00:00,3500.0,4500.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-07-10 00:00:00,3500.0,5000.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2019-09-25 00:00:00,2800.0,4000.0,3500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2012-07-18 00:00:00,4000.0,5000.0,4500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2012-07-22 00:00:00,4000.0,4500.0,4250.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2012-08-24 00:00:00,4000.0,5000.0,4500.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2012-08-30 00:00:00,3500.0,4500.0,4000.0,64
Gujarat,Bharuch,Bharuch,Field Pea,Other,FAQ,2012-11-22 00:00:00,2000.0,3000.0,2500.0,64
