State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-04-10,8000,12000,10000.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-04-11,7500,11750,9625.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-02 00:00:00,11700,15000,13350.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-16 00:00:00,11250,15200,13225.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-23 00:00:00,11500,15500,13500.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-03-20 00:00:00,9000,15000,12000.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-04-12 00:00:00,6000,15000,10500.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-01 00:00:00,10650,15500,13075.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-09 00:00:00,11750,15500,13625.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-10 00:00:00,11500,15250,13375.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-29 00:00:00,9300,15500,12400.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2013-12-23 00:00:00,11500,16500,14000.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2013-09-12 00:00:00,8500,10750,9625.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-01-20 00:00:00,11500,15700,13600.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-02-08 00:00:00,8000,16000,10000.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-02-15 00:00:00,8700,15600,12150.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-02-26 00:00:00,9750,15500,12625.0,276
Gujarat,Junagarh,Bhesan,Gingelly Oil,Other,FAQ,2014-03-15 00:00:00,8700,14900,11800.0,276
